run_accession	sample_accession	sample_alias	scientific_name	library_layout	instrument_model
SRR12750670	SAMN16326767	S99	Homo sapiens	PAIRED	Illumina MiSeq
SRR12750678	SAMN16326759	S91	Homo sapiens	PAIRED	Illumina MiSeq
SRR12750681	SAMN16326757	S89	Homo sapiens	PAIRED	Illumina MiSeq
SRR12750684	SAMN16326754	S86	Homo sapiens	PAIRED	Illumina MiSeq
SRR12750686	SAMN16326752	S84	Homo sapiens	PAIRED	Illumina MiSeq
SRR12750691	SAMN16326729	S61	Homo sapiens	PAIRED	Illumina MiSeq
SRR12750693	SAMN16326728	S60	Homo sapiens	PAIRED	Illumina MiSeq
SRR12750696	SAMN16326725	S57	Homo sapiens	PAIRED	Illumina MiSeq
SRR12750700	SAMN16326721	S53	Homo sapiens	PAIRED	Illumina MiSeq
SRR12750701	SAMN16326720	S52	Homo sapiens	PAIRED	Illumina MiSeq
SRR12750708	SAMN16326696	S28	Homo sapiens	PAIRED	Illumina MiSeq
SRR12750710	SAMN16326694	S26	Homo sapiens	PAIRED	Illumina MiSeq
SRR12750711	SAMN16326693	S25	Homo sapiens	PAIRED	Illumina MiSeq
SRR12750712	SAMN16326692	S24	Homo sapiens	PAIRED	Illumina MiSeq
SRR12750716	SAMN16326671	S3	Homo sapiens	PAIRED	Illumina MiSeq
SRR12750718	SAMN16326687	S19	Homo sapiens	PAIRED	Illumina MiSeq
SRR12750719	SAMN16326686	S18	Homo sapiens	PAIRED	Illumina MiSeq
SRR12750724	SAMN16326681	S13	Homo sapiens	PAIRED	Illumina MiSeq
SRR12750727	SAMN16326751	S83	Homo sapiens	PAIRED	Illumina MiSeq
SRR12750730	SAMN16326677	S9	Homo sapiens	PAIRED	Illumina MiSeq
SRR12750737	SAMN16326742	S74	Homo sapiens	PAIRED	Illumina MiSeq
SRR12750744	SAMN16326736	S68	Homo sapiens	PAIRED	Illumina MiSeq
SRR12750745	SAMN16326735	S67	Homo sapiens	PAIRED	Illumina MiSeq
SRR12750746	SAMN16326734	S66	Homo sapiens	PAIRED	Illumina MiSeq
SRR12750747	SAMN16326715	S47	Homo sapiens	PAIRED	Illumina MiSeq
SRR12750753	SAMN16326709	S41	Homo sapiens	PAIRED	Illumina MiSeq
SRR12750757	SAMN16326706	S38	Homo sapiens	PAIRED	Illumina MiSeq
SRR12750759	SAMN16326704	S36	Homo sapiens	PAIRED	Illumina MiSeq
SRR12750764	SAMN16326699	S31	Homo sapiens	PAIRED	Illumina MiSeq
SRR12750766	SAMN16326698	S30	Homo sapiens	PAIRED	Illumina MiSeq
SRR12750767	SAMN16326670	S2	Homo sapiens	PAIRED	Illumina MiSeq
SRR12750672	SAMN16326765	S97	Homo sapiens	PAIRED	Illumina MiSeq
SRR12750675	SAMN16326762	S94	Homo sapiens	PAIRED	Illumina MiSeq
SRR12750679	SAMN16326678	S10	Homo sapiens	PAIRED	Illumina MiSeq
SRR12750680	SAMN16326758	S90	Homo sapiens	PAIRED	Illumina MiSeq
SRR12750688	SAMN16326732	S64	Homo sapiens	PAIRED	Illumina MiSeq
SRR12750692	SAMN16326675	S7	Homo sapiens	PAIRED	Illumina MiSeq
SRR12750694	SAMN16326727	S59	Homo sapiens	PAIRED	Illumina MiSeq
SRR12750695	SAMN16326726	S58	Homo sapiens	PAIRED	Illumina MiSeq
SRR12750699	SAMN16326722	S54	Homo sapiens	PAIRED	Illumina MiSeq
SRR12750702	SAMN16326719	S51	Homo sapiens	PAIRED	Illumina MiSeq
SRR12750703	SAMN16326674	S6	Homo sapiens	PAIRED	Illumina MiSeq
SRR12750704	SAMN16326718	S50	Homo sapiens	PAIRED	Illumina MiSeq
SRR12750707	SAMN16326697	S29	Homo sapiens	PAIRED	Illumina MiSeq
SRR12750714	SAMN16326690	S22	Homo sapiens	PAIRED	Illumina MiSeq
SRR12750721	SAMN16326684	S16	Homo sapiens	PAIRED	Illumina MiSeq
