sample-id	input_reads	filtered_reads	denoised_reads	merged_reads	non_chimeric_reads	depth_status
SRR12750669	100000	76172	72691	58143	42079	OK
SRR12750670	100000	77457	74801	64049	43044	OK
SRR12750671	100000	78222	75888	62874	28838	OK
SRR12750672	100000	77582	74783	61002	40807	OK
SRR12750673	100000	76498	73667	62372	44393	OK
SRR12750674	100000	77158	74881	64423	39017	OK
SRR12750675	100000	76403	74683	68199	59136	OK
SRR12750676	100000	76144	73851	63223	30982	OK
SRR12750677	100000	76847	73194	58717	32635	OK
SRR12750678	100000	76627	73197	57892	36599	OK
SRR12750679	100000	76154	73401	59388	38217	OK
SRR12750680	100000	77552	73166	56426	41061	OK
SRR12750681	100000	76257	74162	63936	37701	OK
SRR12750682	100000	76176	74103	63946	42769	OK
SRR12750683	100000	77101	74613	64348	42478	OK
SRR12750684	100000	78449	75805	63405	40044	OK
SRR12750685	91683	71104	67778	51947	22440	OK
SRR12750686	100000	76614	74202	61777	38002	OK
SRR12750687	100000	76461	72516	56520	38684	OK
SRR12750688	100000	76186	73395	61265	35937	OK
SRR12750689	100000	75564	73059	62667	38667	OK
SRR12750690	100000	76356	74046	62247	34997	OK
SRR12750691	100000	76477	72818	56203	42130	OK
SRR12750692	100000	77079	74757	63611	45877	OK
SRR12750693	100000	76372	72438	55063	34298	OK
SRR12750694	100000	76967	74241	62467	44412	OK
SRR12750695	100000	75882	73597	62448	45226	OK
SRR12750696	100000	75896	73151	59787	43996	OK
SRR12750697	100000	76045	72782	57625	40954	OK
SRR12750698	100000	76884	72218	52364	27327	OK
SRR12750699	100000	77236	74774	61686	29512	OK
SRR12750700	100000	76148	74642	65436	30347	OK
SRR12750701	100000	77181	71904	51105	41816	OK
SRR12750702	100000	77474	75319	64407	37591	OK
SRR12750703	100000	78726	77615	70791	46629	OK
SRR12750704	100000	76060	71741	55137	41482	OK
SRR12750705	100000	77267	74479	60730	40666	OK
SRR12750706	100000	77120	73836	59234	41623	OK
SRR12750707	100000	77453	74203	58665	37065	OK
SRR12750708	100000	76730	74919	64110	32435	OK
SRR12750709	100000	82020	79507	66169	37277	OK
SRR12750710	100000	81165	77883	62113	40038	OK
SRR12750711	100000	80697	77859	62330	34337	OK
SRR12750712	100000	79358	75766	57538	38662	OK
SRR12750713	100000	76163	73023	54575	33320	OK
SRR12750714	100000	77970	74848	61106	35021	OK
SRR12750715	100000	78404	75622	63577	33642	OK
SRR12750716	100000	76396	73026	58318	32353	OK
SRR12750717	100000	76784	73447	56960	37172	OK
SRR12750718	100000	78148	74671	56974	33886	OK
SRR12750719	100000	76343	72813	57734	43315	OK
SRR12750720	100000	77453	74895	63041	43003	OK
SRR12750721	100000	77150	73738	57367	35234	OK
SRR12750722	100000	77181	75209	65042	43227	OK
SRR12750723	100000	77751	76034	66899	40952	OK
SRR12750724	100000	78063	74002	56696	34354	OK
SRR12750725	100000	77126	74297	61211	40011	OK
SRR12750726	100000	77635	75154	62154	41970	OK
SRR12750727	100000	73978	71440	57172	33345	OK
SRR12750728	100000	77059	74626	63599	45342	OK
SRR12750729	100000	76235	72191	53101	37908	OK
SRR12750730	100000	77006	73700	61519	47244	OK
SRR12750731	100000	76766	74947	67354	50861	OK
SRR12750732	92400	71352	69730	61236	32942	OK
SRR12750733	100000	76919	75899	68566	36350	OK
SRR12750734	98361	76657	75782	71696	54788	OK
SRR12750735	100000	77786	75492	63337	40416	OK
SRR12750736	100000	76466	73125	56322	34529	OK
SRR12750737	100000	76302	72654	55842	35129	OK
SRR12750738	100000	77435	75306	63639	36209	OK
SRR12750739	100000	75970	72725	59065	38714	OK
SRR12750740	100000	77532	74757	60604	37707	OK
SRR12750741	100000	77271	73620	59303	40813	OK
SRR12750742	100000	77332	75901	67476	45564	OK
SRR12750743	100000	76530	73370	60104	39795	OK
SRR12750744	93311	70246	69044	63984	37671	OK
SRR12750745	100000	76366	72610	57109	40810	OK
SRR12750746	100000	78369	76641	68053	42383	OK
SRR12750747	100000	77921	74542	58481	41140	OK
SRR12750748	100000	76012	72844	58336	34700	OK
SRR12750749	100000	77232	74465	62116	41355	OK
SRR12750750	100000	77648	73193	54713	42348	OK
SRR12750751	100000	76830	71462	51142	37519	OK
SRR12750752	100000	77259	72482	55703	39847	OK
SRR12750753	100000	77467	74785	60805	37810	OK
SRR12750754	100000	76883	74031	61767	47595	OK
SRR12750755	100000	77189	72613	50051	31372	OK
SRR12750756	100000	76055	73826	63938	42733	OK
SRR12750757	100000	77058	74701	62635	40256	OK
SRR12750758	100000	73839	69116	50449	36896	OK
SRR12750759	100000	77131	74478	62691	41488	OK
SRR12750760	100000	76189	72532	57134	40308	OK
SRR12750761	100000	76878	73519	56763	39877	OK
SRR12750762	100000	76405	72048	52220	33841	OK
SRR12750763	100000	76964	73688	56895	40013	OK
SRR12750764	100000	78034	74444	55460	35151	OK
SRR12750765	100000	76558	74187	60989	31081	OK
SRR12750766	100000	77255	73747	58096	38203	OK
SRR12750767	100000	78123	74097	56926	40559	OK
SRR12750768	100000	77683	74140	58402	40186	OK
