genus	SRR12750669	SRR12750670	SRR12750671	SRR12750672	SRR12750673	SRR12750674	SRR12750675	SRR12750676	SRR12750677	SRR12750678	SRR12750679	SRR12750680	SRR12750681	SRR12750682	SRR12750683	SRR12750684	SRR12750685	SRR12750686	SRR12750687	SRR12750688	SRR12750689	SRR12750690	SRR12750691	SRR12750692	SRR12750693	SRR12750694	SRR12750695	SRR12750696	SRR12750697	SRR12750698	SRR12750699	SRR12750700	SRR12750701	SRR12750702	SRR12750703	SRR12750704	SRR12750705	SRR12750706	SRR12750707	SRR12750708	SRR12750709	SRR12750710	SRR12750711	SRR12750712	SRR12750713	SRR12750714	SRR12750715	SRR12750716	SRR12750717	SRR12750718	SRR12750719	SRR12750720	SRR12750721	SRR12750722	SRR12750723	SRR12750724	SRR12750725	SRR12750726	SRR12750727	SRR12750728	SRR12750729	SRR12750730	SRR12750731	SRR12750732	SRR12750733	SRR12750734	SRR12750735	SRR12750736	SRR12750737	SRR12750738	SRR12750739	SRR12750740	SRR12750741	SRR12750742	SRR12750743	SRR12750744	SRR12750745	SRR12750746	SRR12750747	SRR12750748	SRR12750749	SRR12750750	SRR12750751	SRR12750752	SRR12750753	SRR12750754	SRR12750755	SRR12750756	SRR12750757	SRR12750758	SRR12750759	SRR12750760	SRR12750761	SRR12750762	SRR12750763	SRR12750764	SRR12750765	SRR12750766	SRR12750767	SRR12750768
Unclassified	8	240	18	161	0	0	23	0	25	26	0	78	0	447	24	67	682	0	86	0	9	15	115	63	7	20	278	15	106	6	0	5	2135	0	0	81	0	198	60	30	247	286	98	2490	166	129	0	140	0	0	292	30	15	0	48	116	19	1	0	14	240	81	0	0	0	7	59	0	3203	0	91	59	206	13	0	0	61	0	261	0	78	2	19	5	15	0	45	921	79	16	0	154	58	144	72	66	4	33	41	24
g__Abiotrophia	41	0	0	191	0	0	20	0	30	0	95	45	7	0	0	0	14	0	0	0	15	0	145	0	0	0	0	16	203	0	0	0	0	0	0	755	0	0	108	60	551	0	105	95	0	0	11	0	0	175	0	294	22	136	11	0	83	79	0	50	0	0	12	11	22	110	0	109	286	54	0	0	0	0	0	0	84	0	289	12	0	197	0	152	0	0	61	0	0	40	516	0	0	0	0	0	0	97	0	0
g__Acholeplasma	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	250	0	0	0	0	0	0	0	0	0	0
g__Achromobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	19	0	0	0	0	4	0	0	0	0	0	0	0	0
g__Acidibacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0
g__Acidovorax	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75	0	20	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	28	0	0	0	8	0	173	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Acinetobacter	0	9	0	256	5	0	5	0	2210	0	0	0	36	85	14	23	0	0	0	0	18	0	305	0	2	6	0	0	0	0	0	0	869	0	102	0	0	0	0	0	9	83	28	27	752	1397	0	50	31	570	0	0	8	76	641	24	6	10220	0	17	1945	0	0	0	0	0	0	0	0	1	107	312	0	22	138	0	67	0	53	37	0	0	22	1558	8	0	0	0	59	0	0	12	49	31	86	172	0	0	21	51
g__Actinobacillus	3	0	43	0	0	0	0	0	0	277	0	415	0	0	0	332	23	0	580	0	0	0	0	129	0	0	0	48	291	0	0	0	0	0	6822	0	0	0	0	33	0	57	8	612	0	0	58	0	1579	0	0	0	47	10493	0	290	0	42	0	0	0	0	20	0	0	71	0	0	174	0	0	284	0	13038	0	0	0	0	0	29	24	168	0	73	190	360	50	0	0	0	127	85	0	0	0	0	0	85	0	0
g__Actinomyces	0	240	397	0	6	3	246	82	43	65	1426	7	146	0	16	0	20	0	351	0	0	30	557	175	60	0	0	10	101	0	111	16	0	13	0	219	542	468	23	0	0	0	1059	0	81	0	0	362	87	390	427	68	403	638	30	0	215	531	81	326	0	0	23	0	0	0	0	6	234	0	195	0	0	17	0	0	0	0	0	0	0	838	360	736	77	45	482	0	516	128	72	6	0	569	590	165	691	7	0	103
g__Actinomycetospora	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
