genus	SRR12750669	SRR12750670	SRR12750671	SRR12750672	SRR12750673	SRR12750674	SRR12750675	SRR12750676	SRR12750677	SRR12750678	SRR12750679	SRR12750680	SRR12750681	SRR12750682	SRR12750683	SRR12750684	SRR12750685	SRR12750686	SRR12750687	SRR12750688	SRR12750689	SRR12750690	SRR12750691	SRR12750692	SRR12750693	SRR12750694	SRR12750695	SRR12750696	SRR12750697	SRR12750698	SRR12750699	SRR12750700	SRR12750701	SRR12750702	SRR12750703	SRR12750704	SRR12750705	SRR12750706	SRR12750707	SRR12750708	SRR12750709	SRR12750710	SRR12750711	SRR12750712	SRR12750713	SRR12750714	SRR12750715	SRR12750716	SRR12750717	SRR12750718	SRR12750719	SRR12750720	SRR12750721	SRR12750722	SRR12750723	SRR12750724	SRR12750725	SRR12750726	SRR12750727	SRR12750728	SRR12750729	SRR12750730	SRR12750731	SRR12750732	SRR12750733	SRR12750734	SRR12750735	SRR12750736	SRR12750737	SRR12750738	SRR12750739	SRR12750740	SRR12750741	SRR12750742	SRR12750743	SRR12750744	SRR12750745	SRR12750746	SRR12750747	SRR12750748	SRR12750749	SRR12750750	SRR12750751	SRR12750752	SRR12750753	SRR12750754	SRR12750755	SRR12750756	SRR12750757	SRR12750758	SRR12750759	SRR12750760	SRR12750761	SRR12750762	SRR12750763	SRR12750764	SRR12750765	SRR12750766	SRR12750767	SRR12750768
Unclassified	0.00019273857	0.0056244288	0.0006277245	0.0044205266	0	0	0.00039699663	0	0.00076793119	0.00071591817	0	0.0019104068	0	0.011149635	0.00057600922	0.0016893596	0.030392157	0	0.0024226717	0	0.00023291323	0.00043014453	0.002731851	0.0015007861	0.00020410544	0.00045068391	0.0069689905	0.00034270831	0.0026063437	0.00021965953	0	0.00016479351	0.052875328	0	0	0.0021489401	0	0.0054371705	0.0017772512	0.00095785441	0.0069251689	0.0082577814	0.0030391366	0.065167892	0.0050943686	0.0042698266	0	0.0047946847	0	0	0.0081730904	0.00069827526	0.00042593066	0	0.001176961	0.0034670333	0.00047524951	2.3889725e-05	0	0.00030908489	0.0070846617	0.0017177394	0	0	0	0.0001279497	0.0015687734	0	0.093701548	0	0.0024074074	0.0016161284	0.0055071379	0.00028542572	0	0	0.0015699799	0	0.0067959901	0	0.0020059149	5.1972351e-05	0.00052076196	0.00013176619	0.0003968989	0	0.0014367357	0.02223993	0.0022124513	0.00046399675	0	0.0040104167	0.0015853925	0.0042852041	0.0020448155	0.0019569472	0.00012869599	0.00090592143	0.0010617636	0.00061442359
g__Abiotrophia	0.00098778519	0	0	0.0052442272	0	0	0.00034521446	0	0.00092151743	0	0.0024874319	0.0011021578	0.00019051766	0	0	0	0.00062388592	0	0	0	0.00038818871	0	0.0034445078	0	0	0	0	0.00036555553	0.0049913941	0	0	0	0	0	0	0.020030244	0	0	0.0031990521	0.0019157088	0.015448454	0	0.0032562178	0.0024863252	0	0	0.00033156499	0	0	0.0053710638	0	0.0068430975	0.0006246983	0.0031485855	0.00026972023	0	0.0020760899	0.0018872883	0	0.0011038746	0	0	0.00023605319	0.00033392022	0.00060526026	0.0020106381	0	0.0031576813	0.008366732	0.0014918776	0	0	0	0	0	0	0.0021619396	0	0.0075250618	0.00034590107	0	0.0051192765	0	0.0040056923	0	0	0.0019475751	0	0	0.0011599919	0.012676887	0	0	0	0	0	0	0.00266286	0	0
g__Acholeplasma	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0072499493	0	0	0	0	0	0	0	0	0	0
g__Achromobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00032582938	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.9379779e-05	0	0.00060662176	0	0	0	0	0.00010416667	0	0	0	0	0	0	0	0
g__Acidibacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000360036	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00080279684	0
g__Acidovorax	0	0	0	0	0	0	0.0002243894	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0018574471	0	0.00043090447	0	0	0	0	0	0	0	0	0.00020937475	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.6475268e-05	0.00072007201	0	0	0	0.00021167941	0	0.0055234507	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Acinetobacter	0	0.00021091608	0	0.0070289119	0.00011322977	0	8.6303616e-05	0	0.067885117	0	0	0	0.00097980513	0.0021201766	0.00033600538	0.0005799294	0	0	0	0	0.00046582645	0	0.007245344	0	5.8315839e-05	0.00013520517	0	0	0	0	0	0	0.021521621	0	0.0021976128	0	0	0	0	0	0.00025233409	0.002396489	0.00086832475	0.0007066398	0.023078103	0.046239905	0	0.0017123874	0.00084257447	0.017494322	0	0	0.00022716302	0.0017595036	0.015717333	0.00071731723	0.00015007879	0.24415299	0	0.00037531736	0.057415279	0	0	0	0	0	0	0	0	2.7627362e-05	0.0028306878	0.0085463062	0	0.00048302815	0.0036275695	0	0.0017244042	0	0.0013800286	0.0010665283	0	0	0.00060298753	0.041058346	0.00021167941	0	0	0	0.0016523371	0	0	0.0003125	0.0013393833	0.00092250923	0.0024424186	0.0050999229	0	0	0.00054383012	0.0013056501
g__Actinobacillus	7.2276965e-05	0	0.0014995641	0	0	0	0	0	0	0.007627282	0	0.010164344	0	0	0	0.0083711548	0.0010249554	0	0.016338949	0	0	0	0	0.0030730383	0	0	0	0.0010966666	0.0071551512	0	0	0	0	0	0.14698151	0	0	0	0	0.0010536398	0	0.0016457816	0.00024809279	0.016017169	0	0	0.0017482517	0	0.042916938	0	0	0	0.0013345827	0.24292726	0	0.0086675832	0	0.0010033685	0	0	0	0	0.00039342198	0	0	0.0012977755	0	0	0.0050902495	0	0	0.00777933	0	0.28626004	0	0	0	0	0	0.00083592759	0.00061720458	0.0043656775	0	0.0019237864	0.005027386	0.0075655683	0.001596373	0	0	0	0.0031200865	0.0022135417	0	0	0	0	0	0.002333434	0	0
g__Actinomyces	0	0.0056244288	0.013844813	0	0.00013587572	7.7051496e-05	0.0042461379	0.0026466981	0.0013208417	0.0017897954	0.037337662	0.00017144677	0.0039736541	0	0.00038400614	0	0.0008912656	0	0.009887881	0	0	0.00086028906	0.013231661	0.0041688504	0.0017494752	0	0	0.00022847221	0.002483403	0	0.0037615643	0.00052733924	0	0.00034602076	0	0.0058100974	0.014682378	0.012851494	0.00068127962	0	0	0	0.032841283	0	0.0024858064	0	0	0.012397685	0.0023646445	0.011969799	0.011951745	0.0015827573	0.011443337	0.01477057	0.00073560062	0	0.0053778234	0.012685444	0.0024291498	0.0071972624	0	0	0.00045243528	0	0	0	0	0.00017381732	0.006845508	0	0.0051587302	0	0	0.00037324902	0	0	0	0	0	0	0	0.021776415	0.0098670687	0.019395984	0.0020374143	0.00094569603	0.015389036	0	0.014450948	0.003711974	0.0017688679	0.00015625	0	0.016932508	0.016756127	0.0048923679	0.022232232	0.00019216515	0	0.0026369013
g__Actinomycetospora	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00015344484	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
