sample	non_chimeric_reads	status	reason
SRR12750669	42079	included	
SRR12750670	43044	included	
SRR12750671	28838	included	
SRR12750672	40807	included	
SRR12750673	44393	included	
SRR12750674	39017	included	
SRR12750675	59136	included	
SRR12750676	30982	included	
SRR12750677	32635	included	
SRR12750678	36599	included	
SRR12750679	38217	included	
SRR12750680	41061	included	
SRR12750681	37701	included	
SRR12750682	42769	included	
SRR12750683	42478	included	
SRR12750684	40044	included	
SRR12750685	22440	included	
SRR12750686	38002	included	
SRR12750687	38684	included	
SRR12750688	35937	included	
SRR12750689	38667	included	
SRR12750690	34997	included	
SRR12750691	42130	included	
SRR12750692	45877	included	
SRR12750693	34298	included	
SRR12750694	44412	included	
SRR12750695	45226	included	
SRR12750696	43996	included	
SRR12750697	40954	included	
SRR12750698	27327	included	
SRR12750699	29512	included	
SRR12750700	30347	included	
SRR12750701	41816	included	
SRR12750702	37591	included	
SRR12750703	46629	included	
SRR12750704	41482	included	
SRR12750705	40666	included	
SRR12750706	41623	included	
SRR12750707	37065	included	
SRR12750708	32435	included	
SRR12750709	37277	included	
SRR12750710	40038	included	
SRR12750711	34337	included	
SRR12750712	38662	included	
SRR12750713	33320	included	
SRR12750714	35021	included	
SRR12750715	33642	included	
SRR12750716	32353	included	
SRR12750717	37172	included	
SRR12750718	33886	included	
SRR12750719	43315	included	
SRR12750720	43003	included	
SRR12750721	35234	included	
SRR12750722	43227	included	
SRR12750723	40952	included	
SRR12750724	34354	included	
SRR12750725	40011	included	
SRR12750726	41970	included	
SRR12750727	33345	included	
SRR12750728	45342	included	
SRR12750729	37908	included	
SRR12750730	47244	included	
SRR12750731	50861	included	
SRR12750732	32942	included	
SRR12750733	36350	included	
SRR12750734	54788	included	
SRR12750735	40416	included	
SRR12750736	34529	included	
SRR12750737	35129	included	
SRR12750738	36209	included	
SRR12750739	38714	included	
SRR12750740	37707	included	
SRR12750741	40813	included	
SRR12750742	45564	included	
SRR12750743	39795	included	
SRR12750744	37671	included	
SRR12750745	40810	included	
SRR12750746	42383	included	
SRR12750747	41140	included	
SRR12750748	34700	included	
SRR12750749	41355	included	
SRR12750750	42348	included	
SRR12750751	37519	included	
SRR12750752	39847	included	
SRR12750753	37810	included	
SRR12750754	47595	included	
SRR12750755	31372	included	
SRR12750756	42733	included	
SRR12750757	40256	included	
SRR12750758	36896	included	
SRR12750759	41488	included	
SRR12750760	40308	included	
SRR12750761	39877	included	
SRR12750762	33841	included	
SRR12750763	40013	included	
SRR12750764	35151	included	
SRR12750765	31081	included	
SRR12750766	38203	included	
SRR12750767	40559	included	
SRR12750768	40186	included	
