run_accession	sample_accession	sample_alias	experiment_accession	experiment_title	library_name	scientific_name	library_layout	instrument_model	fastq_ftp	fastq_md5
SRR18236708	SAMN26448882	Human tumor tissue	SRX14378235	Illumina HiSeq 2500 sequencing: Tissue adjacent to a tumor from T1_stage_sample_10	A10	human metagenome	PAIRED	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR182/008/SRR18236708/SRR18236708_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR182/008/SRR18236708/SRR18236708_2.fastq.gz	0551115a701aa58f84f228a1f6c7e2f5;b55f00e4a821ae06eb51bbe39d9467ce
SRR18236713	SAMN26448882	Human tumor tissue	SRX14378230	Illumina HiSeq 2500 sequencing: Precancer_6	P6	human metagenome	PAIRED	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR182/013/SRR18236713/SRR18236713_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR182/013/SRR18236713/SRR18236713_2.fastq.gz	99ae00576c14b40b22742995c694ae7d;f2918b64c8fe1bd6ae42fe4f610df102
SRR18236714	SAMN26448882	Human tumor tissue	SRX14378229	Illumina HiSeq 2500 sequencing: Precancer_5	P5	human metagenome	PAIRED	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR182/014/SRR18236714/SRR18236714_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR182/014/SRR18236714/SRR18236714_2.fastq.gz	b7abfab2bb07513dace0adc6b08177a4;a6b1ba9e48f19af23a1768a070c91356
SRR18236715	SAMN26448882	Human tumor tissue	SRX14378228	Illumina HiSeq 2500 sequencing: Precancer_4	P4	human metagenome	PAIRED	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR182/015/SRR18236715/SRR18236715_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR182/015/SRR18236715/SRR18236715_2.fastq.gz	04ce756a03d5da3c865761f1fee5e5e1;036ad27ae4eb0c934f3efbd49792cbb8
SRR18236725	SAMN26448882	Human tumor tissue	SRX14378218	Illumina HiSeq 2500 sequencing: T4_Stage Tumor tissue_10	Z10	human metagenome	PAIRED	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR182/025/SRR18236725/SRR18236725_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR182/025/SRR18236725/SRR18236725_2.fastq.gz	3b887c1e2739dfdfde1308a99091d03b;303fc85341238af05a07b7c20212eb19
SRR18236726	SAMN26448882	Human tumor tissue	SRX14378217	Illumina HiSeq 2500 sequencing: T4_Stage Tumor tissue_9	Z9	human metagenome	PAIRED	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR182/026/SRR18236726/SRR18236726_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR182/026/SRR18236726/SRR18236726_2.fastq.gz	37d115b8036a41877c4f79c2dd726552;f731a7026133c5c1f501ef76fcfbd779
SRR18236727	SAMN26448882	Human tumor tissue	SRX14378216	Illumina HiSeq 2500 sequencing: T4_Stage Tumor tissue_8	Z8	human metagenome	PAIRED	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR182/027/SRR18236727/SRR18236727_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR182/027/SRR18236727/SRR18236727_2.fastq.gz	0e7348f3e57331daf12903d741d75e43;b37d20a2d2e9b8bde6e2354d5080d4eb
SRR18236731	SAMN26448882	Human tumor tissue	SRX14378212	Illumina HiSeq 2500 sequencing: T4_Stage Tumor tissue_5	Z5	human metagenome	PAIRED	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR182/031/SRR18236731/SRR18236731_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR182/031/SRR18236731/SRR18236731_2.fastq.gz	b4ff4b3924dccb772fb58d7e89765610;77fd9a34c2bb1618b660cb16f7078178
SRR18236732	SAMN26448882	Human tumor tissue	SRX14378211	Illumina HiSeq 2500 sequencing: T4_Stage Tumor tissue_4	Z4	human metagenome	PAIRED	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR182/032/SRR18236732/SRR18236732_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR182/032/SRR18236732/SRR18236732_2.fastq.gz	3625f4b48c3946a9880319db70e41d8e;fb6d7f0549719efaa682ea110634b851
SRR18236737	SAMN26448882	Human tumor tissue	SRX14378206	Illumina HiSeq 2500 sequencing: Tissue adjacent to a tumor from T4_stage_sample_9	Y9	human metagenome	PAIRED	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR182/037/SRR18236737/SRR18236737_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR182/037/SRR18236737/SRR18236737_2.fastq.gz	3185100e148c7c8b1903d470b5be88ab;1d5ed943d9c67ca5a153b9725f0bffe6
SRR18236741	SAMN26448882	Human tumor tissue	SRX14378202	Illumina HiSeq 2500 sequencing: Tissue adjacent to a tumor from T1_stage_sample_7	A7	human metagenome	PAIRED	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR182/041/SRR18236741/SRR18236741_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR182/041/SRR18236741/SRR18236741_2.fastq.gz	27aac3ef6ca5213735aad3ad613353d6;02de85a133936b36f3a9af2bd5a3fe07
SRR18236746	SAMN26448882	Human tumor tissue	SRX14378197	Illumina HiSeq 2500 sequencing: Tissue adjacent to a tumor from T4_stage_sample_1	Y1	human metagenome	PAIRED	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR182/046/SRR18236746/SRR18236746_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR182/046/SRR18236746/SRR18236746_2.fastq.gz	7cf182d5127960324e52806bd95ff0f2;c8304f9d077f2916803f8f482eb3dd04
SRR18236749	SAMN26448882	Human tumor tissue	SRX14378194	Illumina HiSeq 2500 sequencing: T3_Stage Tumor tissue_13	E13	human metagenome	PAIRED	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR182/049/SRR18236749/SRR18236749_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR182/049/SRR18236749/SRR18236749_2.fastq.gz	e955da58d2b481b5b335215e7f0e1323;1304e0707b265785ce5532adbd00a5f4
SRR18236751	SAMN26448882	Human tumor tissue	SRX14378192	Illumina HiSeq 2500 sequencing: T3_Stage Tumor tissue_11	E11	human metagenome	PAIRED	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR182/051/SRR18236751/SRR18236751_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR182/051/SRR18236751/SRR18236751_2.fastq.gz	c7a00b0f006f336233d9a3ee5082fe2a;1e9110bec9c2345b822de2f1842e3e06
SRR18236754	SAMN26448882	Human tumor tissue	SRX14378189	Illumina HiSeq 2500 sequencing: T3_Stage Tumor tissue_9	E9	human metagenome	PAIRED	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR182/054/SRR18236754/SRR18236754_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR182/054/SRR18236754/SRR18236754_2.fastq.gz	17f619674bb2fd85b8664096ed290b27;785dcbfd882e251f0d5470f4accbeaf2
SRR18236759	SAMN26448882	Human tumor tissue	SRX14378184	Illumina HiSeq 2500 sequencing: T3_Stage Tumor tissue_4	E4	human metagenome	PAIRED	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR182/059/SRR18236759/SRR18236759_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR182/059/SRR18236759/SRR18236759_2.fastq.gz	c5564f48d093d8c34d6c33a87f0a3027;429852ed962ed20317e89448c6445344
SRR18236762	SAMN26448882	Human tumor tissue	SRX14378181	Illumina HiSeq 2500 sequencing: T3_Stage Tumor tissue_1	E1	human metagenome	PAIRED	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR182/062/SRR18236762/SRR18236762_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR182/062/SRR18236762/SRR18236762_2.fastq.gz	4e1de58031de129a4b3d2c70c773f4d4;5a6129ce1a4749c659594cc2a2c76ca1
SRR18236768	SAMN26448882	Human tumor tissue	SRX14378175	Illumina HiSeq 2500 sequencing: T2_Stage Tumor tissue_11	D11	human metagenome	PAIRED	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR182/068/SRR18236768/SRR18236768_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR182/068/SRR18236768/SRR18236768_2.fastq.gz	a8d12668953d847ce1d091dfa1e5322e;b60fbe52b0ac05957d8a04de219c019c
SRR18236770	SAMN26448882	Human tumor tissue	SRX14378173	Illumina HiSeq 2500 sequencing: T2_Stage Tumor tissue_9	D9	human metagenome	PAIRED	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR182/070/SRR18236770/SRR18236770_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR182/070/SRR18236770/SRR18236770_2.fastq.gz	3b377fde853ec1a0590f42758ae68730;852f8b18c5b4b9cbdcc643b15dac33b2
