genus	SRR18236708	SRR18236719	SRR18236725	SRR18236726	SRR18236727	SRR18236728	SRR18236729	SRR18236730	SRR18236731	SRR18236734	SRR18236735	SRR18236736	SRR18236737	SRR18236738	SRR18236739	SRR18236740	SRR18236741	SRR18236742	SRR18236743	SRR18236744	SRR18236745	SRR18236746	SRR18236752	SRR18236763	SRR18236774	SRR18236785	SRR18236786	SRR18236787	SRR18236788	SRR18236789	SRR18236790	SRR18236791	SRR18236792	SRR18236793	SRR18236794	SRR18236795	SRR18236796	SRR18236797	SRR18236732	SRR18236733
Unclassified	4808	1585	4773	8314	1332	5328	4328	9174	4771	228	46	285	11550	34128	21556	3136	2088	4035	2221	3559	4387	468	16347	18006	1374	23437	2204	7375	1881	4121	17112	11576	19902	16721	1785	1415	14474	2840	11	10
g__1-68	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	2	0	8	19	504	0	5	0	0	0
g__AF12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	13	0	2	0	0	0	0	6	0	0	0	0	0	7	0	0	0
g__Abiotrophia	1	1	203	1	2	68	1	391	2	0	0	2	537	57	0	27	4	13	5	270	14	0	23	55	3	652	0	0	10	4	23	391	10	290	28	6	45	17	0	0
g__Achromobacter	12	95	0	0	1	0	0	22	0	1	0	0	9	0	0	1	0	0	2	154	1239	0	0	23	0	0	1	1	6	0	2	0	1	0	0	1	117	1	0	0
g__Acidaminococcus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	9	9	0	0	0	0	0	0	9	0	0	0	0	0	7	0	0	0
g__Acidovorax	0	0	1	2	13	55	0	0	2	3	0	0	2	4	0	10	0	36	0	0	0	0	7	0	0	5	3	12	101	2	0	2	14	17	0	48	0	0	1	0
g__Acinetobacter	0	2	0	16	605	40	0	2	2	5	29492	0	7	3	196	15	0	9	6	43	615	33219	26	35	0	8	2	34	68	0	13	2	74	6	1	13	30	13	0	0
g__Actinobacillus	0	1	6	0	0	0	0	0	0	0	0	0	0	2	0	3	1	2	5	4	7	0	5	1	0	3	0	2	1	0	9	0	1	1	41	21	336	0	0	0
g__Actinomadura	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Actinomyces	1579	386	8049	440	29	265	70	6065	10	47	2	26	874	265	44	113	3828	890	685	663	739	1	408	656	107	704	44	635	49	109	352	901	52	1165	525	218	384	2239	0	0
g__Actinomycetospora	0	0	0	0	0	5	0	0	0	0	0	0	0	0	73	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0
g__Actinoplanes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Actinopolymorpha	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Adlercreutzia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	11	0	6	0	0	0	0	9	0	0	0	0	0	10	0	0	0
g__Aerococcus	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0
g__Aeromicrobium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	1	0	6	0	0	0	0	0	0	1	9	0	0	0	0	0	0	0	0	0	0	0
g__Aggregatibacter	17	71	3	17	4	38	0	9	1	0	2	0	1	43	0	154	6	169	76	12	5	1	31	78	1	45	4	115	16	4	15	70	25	241	455	20561	34	11	0	0
g__Agrobacterium	1	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	1	0	1	11	0	3	2	0	2	0	2	4	0	3	1	5	0	0	3	3	0	0	0
g__Agromyces	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
