genus	SRR18236708	SRR18236719	SRR18236725	SRR18236726	SRR18236727	SRR18236728	SRR18236729	SRR18236730	SRR18236731	SRR18236734	SRR18236735	SRR18236736	SRR18236737	SRR18236738	SRR18236739	SRR18236740	SRR18236741	SRR18236742	SRR18236743	SRR18236744	SRR18236745	SRR18236746	SRR18236752	SRR18236763	SRR18236774	SRR18236785	SRR18236786	SRR18236787	SRR18236788	SRR18236789	SRR18236790	SRR18236791	SRR18236792	SRR18236793	SRR18236794	SRR18236795	SRR18236796	SRR18236797	SRR18236732	SRR18236733
Unclassified	0.063528977	0.13698038	0.075920977	0.10544472	0.016871224	0.072718339	0.060212301	0.13735589	0.057756095	0.0053158005	0.00053656204	0.0038229889	0.1481529	0.42213069	0.38001551	0.047858865	0.027622336	0.054326606	0.034773215	0.065612153	0.079332357	0.0055244706	0.32312071	0.32821728	0.017905313	0.405183	0.031854314	0.16769749	0.1667701	0.050814437	0.33854981	0.15848633	0.34345177	0.22818893	0.027958337	0.017991329	0.28395425	0.034480665	0.089430894	0.039525692
g__1-68	1.3213181e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00029496894	0	0	0	0	0	0	0	0	0	0	3.9568701e-05	0	0.00013805719	0.00025929009	0.0078941186	0	9.8091146e-05	0	0	0
g__AF12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00031626179	0.00023696682	0	3.4576353e-05	0	0	0	0	0.0001187061	0	0	0	0	0	0.0001373276	0	0	0
g__Abiotrophia	1.3213181e-05	8.6422954e-05	0.0032289877	1.2682791e-05	2.5332168e-05	0.00092808691	1.3912269e-05	0.0058541698	2.4211316e-05	0	0	2.6827992e-05	0.0068881478	0.00070503544	0	0.00041205018	5.2916352e-05	0.00017502996	7.8282789e-05	0.0049776008	0.00025316914	0	0.00045462632	0.001002552	3.909457e-05	0.011271891	0	0	0.00088660342	4.9322433e-05	0.00045504006	0.0053531578	0.00017257149	0.0039575856	0.00043856214	7.6288319e-05	0.00088282032	0.00020639835	0	0
g__Achromobacter	0.00015855818	0.0082101806	0	0	1.2666084e-05	0	0	0.00032939063	0	2.3314915e-05	0	0	0.00011544382	0	0	1.5261118e-05	0	0	3.1313115e-05	0.002839076	0.022405468	0	0	0.000419249	0	0	1.4452956e-05	2.2738642e-05	0.00053196205	0	3.9568701e-05	0	1.7257149e-05	0	0	1.271472e-05	0.0022953328	1.2141079e-05	0	0
g__Acidaminococcus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5656558e-05	0	0	0	0.00017789725	0.00016405396	0	0	0	0	0	0	0.00017805916	0	0	0	0	0	0.0001373276	0	0	0
g__Acidovorax	0	0	1.5906343e-05	2.5365581e-05	0.00016465909	0.00075065853	0	0	2.4211316e-05	6.9944744e-05	0	0	2.5654182e-05	4.9476171e-05	0	0.00015261118	0	0.00048469834	0	0	0	0	0.00013836453	0	0	8.6440883e-05	4.3358867e-05	0.0002728637	0.0089546946	2.4661217e-05	0	2.7381881e-05	0.00024160008	0.0002319964	0	0.00061030655	0	0	0.0081300813	0
g__Acinetobacter	0	0.00017284591	0	0.00020292465	0.0076629808	0.00054593348	0	2.9944602e-05	2.4211316e-05	0.00011657457	0.34400625	0	8.9789636e-05	3.7107128e-05	0.0034553276	0.00022891677	0	0.00012117459	9.3939346e-05	0.00079272902	0.011121358	0.39213117	0.0005139254	0.0006379876	0	0.00013830541	2.8905911e-05	0.00077311383	0.0060289033	0	0.00025719656	2.7381881e-05	0.001277029	8.1881081e-05	1.5662934e-05	0.00016529136	0.00058854688	0.00015783403	0	0
g__Actinobacillus	0	8.6422954e-05	9.5438061e-05	0	0	0	0	0	0	0	0	0	0	2.4738086e-05	0	4.5783353e-05	1.3229088e-05	2.6927686e-05	7.8282789e-05	7.3742234e-05	0.00012658457	0	9.8831808e-05	1.8228217e-05	0	5.186453e-05	0	4.5477284e-05	8.8660342e-05	0	0.00017805916	0	1.7257149e-05	1.3646847e-05	0.00064218028	0.00026700912	0.006591725	0	0	0
g__Actinomadura	0	0.00017284591	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
