genus	complete_pairs	median_tumor_relabund	median_normal_relabund	median_paired_clr_effect	wilcoxon_p	bh_fdr_q
Unclassified	20	0.0664653	0.0724723	-0.207466	0.294252	0.492742
g__1-68	20	0	0	0.351221	0.0973072	0.298108
g__AF12	20	0	0	-0.0493118	0.784126	0.902064
g__Abiotrophia	20	3.73273e-05	0.000229784	-0.893464	0.123093	0.298108
g__Achromobacter	20	0	1.37011e-05	-0.495874	0.0399895	0.213529
g__Acidaminococcus	20	0	0	-0.00720961	0.756166	0.891646
g__Acidovorax	20	3.53704e-05	0	1.58431	0.0106888	0.151246
g__Acinetobacter	20	9.92278e-05	0.00014807	-0.329957	0.647655	0.814607
g__Actinobacillus	20	0	2.14832e-05	-0.264884	0.409098	0.60934
g__Actinomadura	20	0	0	0.281792	0.08255	0.278942
g__Actinomyces	20	0.00205792	0.0115843	-0.723413	0.113987	0.298108
g__Actinomycetospora	20	0	0	0.0746094	0.277355	0.478607
g__Actinoplanes	20	0	0	0.281792	0.132727	0.298108
g__Actinopolymorpha	20	0	0	0.22504	0.132727	0.298108
g__Adlercreutzia	20	0	0	-0.0493118	0.812355	0.919586
g__Aerococcus	20	0	0	0.281792	0.0695801	0.269742
g__Aeromicrobium	20	0	0	0.22504	0.261099	0.467664
g__Aggregatibacter	20	0.00013671	0.000222925	0.396439	0.812355	0.919586
g__Agrobacterium	20	0	0	0.0857013	0.452375	0.643328
g__Agromyces	20	0	0	0.208818	0.176853	0.357496
g__Akkermansia	20	0	0	0.0745424	0.898317	0.94507
g__Alcanivorax	20	0	0	0.208818	0.132727	0.298108
g__Alkaliphilus	20	0	0	0.351297	0.0362339	0.205084
g__Alkanindiges	20	0	0	0.281792	0.0362339	0.205084
g__Allobaculum	20	0	0	0.351297	0.0214844	0.155899
g__Alloiococcus	20	0	0	0.351297	0.0055809	0.151246
g__Amaricoccus	20	0	0	0.0811097	0.545876	0.721882
g__Ammoniphilus	20	0	0	0.351297	0.0214844	0.155899
g__Anabaena	20	0	0	0.208818	0.132727	0.298108
g__Anaerobacillus	20	0	0	-0.0962548	0.595819	0.773472
g__Anaerococcus	20	0	0	0.351297	0.245487	0.451123
g__Anaeroplasma	20	0	0	-0.0493118	0.869488	0.942778
g__Anaerostipes	20	0	0	-0.0493118	0.985435	0.992449
g__Anaerotruncus	20	0	0	-0.00720961	0.840822	0.933148
g__Anaerovorax	20	0	0	0.147584	0.784126	0.902064
g__Anoxybacillus	20	0	0	0.208818	0.089695	0.278942
g__Aquicella	20	0	0	0.281792	0.08255	0.278942
g__Arcanobacterium	20	0	1.42451e-05	-0.495874	0.0171814	0.155899
g__Arsenicicoccus	20	0	0	0.351297	0.0106888	0.151246
g__Arthrobacter	20	0	0	-0.0493118	0.521673	0.703017
g__Atopobium	20	4.86944e-05	0.000474405	-1.47395	0.0484409	0.22848
g__Azospirillum	20	1.30108e-05	0	0.365852	0.132727	0.298108
g__Bacillus	20	4.57896e-05	0.000203426	-1.23538	0.08255	0.278942
g__Bacteroides	20	1.5452e-05	3.34079e-05	-0.11492	0.756166	0.891646
g__Balneimonas	20	0	0	0.0416736	0.521673	0.703017
g__Bdellovibrio	20	0	0	0.0746094	0.674223	0.836864
g__Bifidobacterium	20	1.31815e-05	1.43625e-05	0.367443	0.452375	0.643328
g__Bilophila	20	0	0	0.131362	0.474905	0.668647
g__Blautia	20	0	0	0.131362	0.245487	0.451123
g__Brachybacterium	20	0	1.43625e-05	-0.163064	0.261099	0.467664
g__Bradyrhizobium	20	0	0	0.22504	0.132727	0.298108
g__Brevibacillus	20	0	0	0.0411811	0.521673	0.703017
g__Brevibacterium	20	0	0	0.281792	0.430433	0.621493
g__Brevundimonas	20	0	7.1923e-05	-1.13907	0.0192337	0.155899
g__Bulleidia	20	0.000547723	0.000432441	-0.184783	0.840822	0.933148
g__Burkholderia	20	0	0	0.578873	0.0266418	0.163905
g__Butyricimonas	20	0	0	0.281792	0.132727	0.298108
g__Butyrivibrio	20	1.9507e-05	3.50275e-05	-0.270457	0.956329	0.980584
g__C39	20	0	0	-0.00720961	0.898317	0.94507
g__CM44	20	0	0	0.351297	0.0695801	0.269742
g__Caldicoprobacter	20	0	0	0.351297	0.0214844	0.155899
g__Caldilinea	20	0	0	0.208818	0.089695	0.278942
g__Campylobacter	20	0.00508434	0.00622488	0.0722477	0.898317	0.94507
g__Candidatus Koribacter	20	0	0	0.351297	0.0266418	0.163905
g__Candidatus Rhabdochlamydia	20	0	0	0.208818	0.089695	0.278942
g__Candidatus Rhodoluna	20	0	0	0.351297	0.0106888	0.151246
g__Candidatus Solibacter	20	0	0	0.351297	0.0695801	0.269742
g__Capnocytophaga	20	0.0399922	0.0485272	0.157275	0.869488	0.942778
g__Cardiobacterium	20	0	9.80911e-06	0.0746094	0.869488	0.942778
g__Catonella	20	0.000659841	0.000665817	0.382087	0.430433	0.621493
g__Cellulomonas	20	0	0	0.208818	0.123093	0.298108
g__Cellulosimicrobium	20	0	0	0.208818	0.277355	0.478607
g__Chitinophaga	20	0	0	0.351297	0.0695801	0.269742
g__Chryseobacterium	20	0	0	-0.117425	0.311794	0.51301
g__Chthoniobacter	20	0	0	0.351297	0.0106888	0.151246
g__Citrobacter	20	6.05283e-06	1.80324e-05	-0.105716	0.521673	0.703017
g__Cloacibacterium	20	0	1.24841e-05	-0.495874	0.216167	0.41901
g__Clostridium	20	0	0	-0.09876	0.545876	0.721882
g__Cohnella	20	0	0	0.22504	0.132727	0.298108
g__Comamonas	20	0	0	-0.09876	0.621513	0.79229
g__Coprobacillus	20	0	0	-0.00720961	0.898317	0.94507
g__Coprococcus	20	0	0	-0.107964	0.34881	0.539417
g__Coprothermobacter	20	0	0	0.114538	0.294252	0.492742
g__Corynebacterium	20	0.000315407	0.00108504	-0.432114	0.474905	0.668647
g__DA101	20	0	0	0.22504	0.132727	0.298108
g__Dactylosporangium	20	0	0	0.281792	0.0266418	0.163905
g__Dehalobacterium	20	0	0	-0.0493118	0.869488	0.942778
g__Deinococcus	20	0	0	0.22504	0.812355	0.919586
g__Delftia	20	0	0	0.22504	0.123093	0.298108
g__Dermabacter	20	0	0	0.281792	0.08255	0.278942
g__Dermacoccus	20	0	0	0.143221	0.927279	0.964779
g__Desemzia	20	0	0	0.208818	0.132727	0.298108
g__Desulfobulbus	20	0	0	-0.0449487	1	1
g__Desulfosporosinus	20	0	0	0.147584	0.409098	0.60934
g__Desulfotomaculum	20	0	0	0.281792	0.0266418	0.163905
g__Desulfovibrio	20	0	0	0.0411811	0.728506	0.87359
g__Devosia	20	0	0	0.281792	0.0637226	0.269742
g__Dialister	20	0.00020782	0.000260956	-0.00927277	0.985435	0.992449
g__Dietzia	20	0	0	0.22504	0.294252	0.492742
g__Dorea	20	0	0	-0.00720961	0.898317	0.94507
g__Dyadobacter	20	0	0	0.22504	0.132727	0.298108
g__Dysgonomonas	20	0	0	0.22504	0.164957	0.345799
g__Eikenella	20	0.000469817	0.000557348	0.0256982	0.985435	0.992449
g__Enhydrobacter	20	1.40499e-05	3.7978e-05	-0.495874	0.430433	0.621493
g__Enterobacter	20	0	0	0.351297	0.0582581	0.261699
g__Enterococcus	20	4.47477e-05	0.000147146	-0.854523	0.113987	0.298108
g__Epulopiscium	20	0	0	0.208818	0.132727	0.298108
g__Erwinia	20	0	0	-0.00720961	0.784126	0.902064
g__Ethanoligenens	20	0	0	0.0746094	0.277355	0.478607
g__Exiguobacterium	20	6.3414e-06	1.68483e-05	-0.0449487	0.521673	0.703017
g__Facklamia	20	0	0	0.208818	0.142906	0.311096
g__Faecalibacterium	20	0	0	0.351297	0.0192337	0.155899
g__Filifactor	20	0.000201201	8.18091e-05	0.63112	0.0695801	0.269742
g__Fimbriimonas	20	0	0	0.208818	0.123093	0.298108
g__Finegoldia	20	0	0	0.281792	0.0192337	0.155899
g__Flavisolibacter	20	0	0	0.351297	0.164957	0.345799
g__Flavobacterium	20	0	0	0.0746094	0.409098	0.60934
g__Flexispira	20	0	0	0.281792	0.0695801	0.269742
g__Fluviicola	20	0	0	0.208818	0.113987	0.298108
g__Fusobacterium	20	0.116964	0.0548411	0.4393	0.521673	0.703017
g__Gemella	20	0.011313	0.0121366	0.220562	0.985435	0.992449
g__Gemmata	20	0	0	0.208818	0.20245	0.395126
g__Gemmatimonas	20	0	0	0.208818	0.132727	0.298108
g__Geobacillus	20	0	0	0.131362	0.230513	0.440778
g__Geobacter	20	0	0	0.351297	0.0106888	0.151246
g__Geodermatophilus	20	0	0	0.22504	0.132727	0.298108
g__Gordonia	20	0	0	0.0746094	0.329983	0.5276
g__Granulicatella	20	0.000146442	0.000391245	-0.0962548	0.430433	0.621493
g__Haemophilus	20	0.00301058	0.00610772	-0.682046	0.123093	0.298108
g__Halomonas	20	0.000295936	0.000203924	-0.111976	0.869488	0.942778
g__Helcococcus	20	0	0	0.335076	0.0484409	0.22848
g__Helicobacter	20	0	0	0.131362	0.176853	0.357496
g__Holdemania	20	0	0	-0.00720961	0.728506	0.87359
g__Hydrogenophaga	20	0	0	0.22504	0.132727	0.298108
g__Hylemonella	20	0	0	0.22504	0.132727	0.298108
g__Jeotgalicoccus	20	0	0	-0.00720961	0.701181	0.859023
g__Jonquetella	20	0	0	0.367443	0.0192337	0.155899
g__Kaistobacter	20	0	0	0.0746094	0.521673	0.703017
g__Kingella	20	0	0	0.0892598	0.869488	0.942778
g__Klebsiella	20	0	0	0.131362	0.34881	0.539417
g__Kocuria	20	0	2.82623e-05	-0.514996	0.0637226	0.269742
g__Lactobacillus	20	6.1653e-06	1.97634e-05	-0.252	0.311794	0.51301
g__Lactococcus	20	6.3414e-06	7.8402e-05	-0.748118	0.430433	0.621493
g__Lautropia	20	3.01159e-05	0.000213001	-1.27681	0.0106888	0.151246
g__Legionella	20	0	0	0.281792	0.0637226	0.269742
g__Leptotrichia	20	0.0138483	0.0146012	-0.215157	0.388376	0.590917
g__Leucobacter	20	0	0	-0.0449487	0.756166	0.891646
g__Limnobacter	20	0	0	0.192104	0.176853	0.357496
g__Luteibacter	20	0	0	0.281792	0.0214844	0.155899
g__Luteimonas	20	0	0	-0.00720961	0.927279	0.964779
g__Lysinibacillus	20	0	0	0.420726	0.0362339	0.205084
g__Lysobacter	20	0	0	0.22504	0.132727	0.298108
g__Macrococcus	20	0	0	0.281792	0.0214844	0.155899
g__Marinibacillus	20	0	0	0.0746094	0.311794	0.51301
g__Marinobacter	20	0	0	0.147584	0.34881	0.539417
g__Megasphaera	20	3.80233e-05	0.000227845	-0.51046	0.388376	0.590917
g__Mesorhizobium	20	0	0	0.281792	0.132727	0.298108
g__Methylibium	20	0	0	0.22504	0.132727	0.298108
g__Methylobacterium	20	0	6.73192e-06	-0.105716	0.176853	0.357496
g__Microbacterium	20	0	2.27103e-05	-0.589767	0.00638962	0.151246
g__Microbispora	20	0	0	0.208818	0.089695	0.278942
g__Micrococcus	20	1.9154e-05	7.21409e-05	-0.35798	0.277355	0.478607
g__Microlunatus	20	0	0	0.351297	0.176853	0.357496
g__Mobiluncus	20	0	0	0.351297	0.0106888	0.151246
g__Mogibacterium	20	4.2387e-05	0.000168307	-0.270457	0.647655	0.814607
g__Morganella	20	0	0	0.313169	0.123093	0.298108
g__Moryella	20	1.47766e-05	0.000178063	-0.860921	0.0327682	0.197307
g__Mucispirillum	20	0	0	-0.00720961	0.840822	0.933148
g__Mycobacterium	20	0	0	0.0746094	0.621513	0.79229
g__Mycoplana	20	0	0	0.351297	0.0695801	0.269742
g__Mycoplasma	20	1.57846e-05	0.000159231	-0.245285	0.294252	0.492742
g__Myroides	20	0	0	0.0746094	0.34881	0.539417
