run_accession	sample_accession	sample_alias	experiment_accession	experiment_title	library_name	library_layout	instrument_model
SRR18595689	SAMN27258460	OSCC81_S018	SRX14726021	Illumina MiSeq sequencing: 16S rRNA V3-V4	AN_S018_L001	PAIRED	Illumina MiSeq
SRR18595690	SAMN27258459	OSCC81_S017	SRX14726019	Illumina MiSeq sequencing: 16S rRNA V3-V4	AN_S017_L001	PAIRED	Illumina MiSeq
SRR18595691	SAMN27258458	OSCC81_S016	SRX14726017	Illumina MiSeq sequencing: 16S rRNA V3-V4	AN_S016_L001	PAIRED	Illumina MiSeq
SRR18595694	SAMN27258455	OSCC81_S013	SRX14726011	Illumina MiSeq sequencing: 16S rRNA V3-V4	AN_S013_L001	PAIRED	Illumina MiSeq
SRR18595696	SAMN27258453	OSCC81_S011	SRX14726007	Illumina MiSeq sequencing: 16S rRNA V3-V4	AN_S011_L001	PAIRED	Illumina MiSeq
SRR18595697	SAMN27258452	OSCC81_S010	SRX14726005	Illumina MiSeq sequencing: 16S rRNA V3-V4	AN_S010_L001	PAIRED	Illumina MiSeq
SRR18595698	SAMN27258452	OSCC81_S010	SRX14726003	Illumina MiSeq sequencing: 16S rRNA V3-V4	Tumor_S010_L001	PAIRED	Illumina MiSeq
SRR18595701	SAMN27258449	OSCC81_S007	SRX14725997	Illumina MiSeq sequencing: 16S rRNA V3-V4	AN_S007_L001	PAIRED	Illumina MiSeq
SRR18595706	SAMN27258444	OSCC81_S002	SRX14725988	Illumina MiSeq sequencing: 16S rRNA V3-V4	AN_S002_L001	PAIRED	Illumina MiSeq
SRR18595707	SAMN27258443	OSCC81_S001	SRX14725986	Illumina MiSeq sequencing: 16S rRNA V3-V4	AN_S001_L001	PAIRED	Illumina MiSeq
SRR18595708	SAMN27258523	OSCC81_S081	SRX14725984	Illumina MiSeq sequencing: 16S rRNA V3-V4	Tumor_S081_L001	PAIRED	Illumina MiSeq
SRR18595713	SAMN27258519	OSCC81_S077	SRX14725974	Illumina MiSeq sequencing: 16S rRNA V3-V4	Tumor_S077_L001	PAIRED	Illumina MiSeq
SRR18595714	SAMN27258518	OSCC81_S076	SRX14725972	Illumina MiSeq sequencing: 16S rRNA V3-V4	Tumor_S076_L001	PAIRED	Illumina MiSeq
SRR18595717	SAMN27258515	OSCC81_S073	SRX14725966	Illumina MiSeq sequencing: 16S rRNA V3-V4	Tumor_S073_L001	PAIRED	Illumina MiSeq
SRR18595718	SAMN27258485	OSCC81_S043	SRX14725964	Illumina MiSeq sequencing: 16S rRNA V3-V4	Tumor_S043_L001	PAIRED	Illumina MiSeq
SRR18595719	SAMN27258484	OSCC81_S042	SRX14725962	Illumina MiSeq sequencing: 16S rRNA V3-V4	Tumor_S042_L001	PAIRED	Illumina MiSeq
SRR18595720	SAMN27258483	OSCC81_S041	SRX14725960	Illumina MiSeq sequencing: 16S rRNA V3-V4	Tumor_S041_L001	PAIRED	Illumina MiSeq
SRR18595721	SAMN27258447	OSCC81_S005	SRX14725958	Illumina MiSeq sequencing: 16S rRNA V3-V4	Tumor_S005_L001	PAIRED	Illumina MiSeq
SRR18595725	SAMN27258479	OSCC81_S037	SRX14725950	Illumina MiSeq sequencing: 16S rRNA V3-V4	Tumor_S037_L001	PAIRED	Illumina MiSeq
SRR18595732	SAMN27258446	OSCC81_S004	SRX14725936	Illumina MiSeq sequencing: 16S rRNA V3-V4	Tumor_S004_L001	PAIRED	Illumina MiSeq
SRR18595738	SAMN27258467	OSCC81_S025	SRX14725924	Illumina MiSeq sequencing: 16S rRNA V3-V4	Tumor_S025_L001	PAIRED	Illumina MiSeq
SRR18595742	SAMN27258463	OSCC81_S021	SRX14725916	Illumina MiSeq sequencing: 16S rRNA V3-V4	Tumor_S021_L001	PAIRED	Illumina MiSeq
SRR18595744	SAMN27258462	OSCC81_S020	SRX14725912	Illumina MiSeq sequencing: 16S rRNA V3-V4	Tumor_S020_L001	PAIRED	Illumina MiSeq
SRR18595747	SAMN27258523	OSCC81_S081	SRX14725906	Illumina MiSeq sequencing: 16S rRNA V3-V4	AN_S081_L001	PAIRED	Illumina MiSeq
SRR18595752	SAMN27258490	OSCC81_S048	SRX14725896	Illumina MiSeq sequencing: 16S rRNA V3-V4	AN_S048_L001	PAIRED	Illumina MiSeq
SRR18595755	SAMN27258487	OSCC81_S045	SRX14725890	Illumina MiSeq sequencing: 16S rRNA V3-V4	AN_S045_L001	PAIRED	Illumina MiSeq
SRR18595757	SAMN27258485	OSCC81_S043	SRX14725886	Illumina MiSeq sequencing: 16S rRNA V3-V4	AN_S043_L001	PAIRED	Illumina MiSeq
SRR18595761	SAMN27258455	OSCC81_S013	SRX14725878	Illumina MiSeq sequencing: 16S rRNA V3-V4	Tumor_S013_L001	PAIRED	Illumina MiSeq
SRR18595765	SAMN27258478	OSCC81_S036	SRX14725870	Illumina MiSeq sequencing: 16S rRNA V3-V4	AN_S036_L001	PAIRED	Illumina MiSeq
SRR18595768	SAMN27258475	OSCC81_S033	SRX14725864	Illumina MiSeq sequencing: 16S rRNA V3-V4	AN_S033_L001	PAIRED	Illumina MiSeq
SRR18595774	SAMN27258470	OSCC81_S028	SRX14725852	Illumina MiSeq sequencing: 16S rRNA V3-V4	AN_S028_L001	PAIRED	Illumina MiSeq
SRR18595777	SAMN27258467	OSCC81_S025	SRX14725846	Illumina MiSeq sequencing: 16S rRNA V3-V4	AN_S025_L001	PAIRED	Illumina MiSeq
SRR18595782	SAMN27258521	OSCC81_S079	SRX14725836	Illumina MiSeq sequencing: 16S rRNA V3-V4	AN_S079_L001	PAIRED	Illumina MiSeq
SRR18595786	SAMN27258517	OSCC81_S075	SRX14725828	Illumina MiSeq sequencing: 16S rRNA V3-V4	AN_S075_L001	PAIRED	Illumina MiSeq
SRR18595787	SAMN27258516	OSCC81_S074	SRX14725826	Illumina MiSeq sequencing: 16S rRNA V3-V4	AN_S074_L001	PAIRED	Illumina MiSeq
SRR18595788	SAMN27258515	OSCC81_S073	SRX14725824	Illumina MiSeq sequencing: 16S rRNA V3-V4	AN_S073_L001	PAIRED	Illumina MiSeq
SRR18595789	SAMN27258514	OSCC81_S072	SRX14725822	Illumina MiSeq sequencing: 16S rRNA V3-V4	AN_S072_L001	PAIRED	Illumina MiSeq
SRR18595793	SAMN27258511	OSCC81_S069	SRX14725814	Illumina MiSeq sequencing: 16S rRNA V3-V4	AN_S069_L001	PAIRED	Illumina MiSeq
SRR18595794	SAMN27258510	OSCC81_S068	SRX14725812	Illumina MiSeq sequencing: 16S rRNA V3-V4	AN_S068_L001	PAIRED	Illumina MiSeq
SRR18595795	SAMN27258509	OSCC81_S067	SRX14725810	Illumina MiSeq sequencing: 16S rRNA V3-V4	AN_S067_L001	PAIRED	Illumina MiSeq
SRR18595805	SAMN27258500	OSCC81_S058	SRX14725790	Illumina MiSeq sequencing: 16S rRNA V3-V4	AN_S058_L001	PAIRED	Illumina MiSeq
SRR18595806	SAMN27258499	OSCC81_S057	SRX14725788	Illumina MiSeq sequencing: 16S rRNA V3-V4	AN_S057_L001	PAIRED	Illumina MiSeq
SRR18595807	SAMN27258498	OSCC81_S056	SRX14725786	Illumina MiSeq sequencing: 16S rRNA V3-V4	AN_S056_L001	PAIRED	Illumina MiSeq
SRR18595812	SAMN27258493	OSCC81_S051	SRX14725776	Illumina MiSeq sequencing: 16S rRNA V3-V4	AN_S051_L001	PAIRED	Illumina MiSeq
SRR18595813	SAMN27258492	OSCC81_S050	SRX14725774	Illumina MiSeq sequencing: 16S rRNA V3-V4	AN_S050_L001	PAIRED	Illumina MiSeq
SRR18595815	SAMN27258453	OSCC81_S011	SRX14725770	Illumina MiSeq sequencing: 16S rRNA V3-V4	Tumor_S011_L001	PAIRED	Illumina MiSeq
SRR18595826	SAMN27258507	OSCC81_S065	SRX14725748	Illumina MiSeq sequencing: 16S rRNA V3-V4	Tumor_S065_L001	PAIRED	Illumina MiSeq
