run_accession	sample_accession	experiment_accession	study_accession	scientific_name	instrument_platform	instrument_model	library_layout	library_strategy	library_source	fastq_ftp	fastq_md5
SRR18595692	SAMN27258457	SRX14726015	PRJNA822685	human oral metagenome	ILLUMINA	Illumina MiSeq	PAIRED	AMPLICON	GENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR185/092/SRR18595692/SRR18595692_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR185/092/SRR18595692/SRR18595692_2.fastq.gz	dc98244a60b05fd5cba3a83b6e8dfc3e;8c9015b1ffb5291e479dca8fbe1bb199
SRR18595693	SAMN27258456	SRX14726013	PRJNA822685	human oral metagenome	ILLUMINA	Illumina MiSeq	PAIRED	AMPLICON	GENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR185/093/SRR18595693/SRR18595693_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR185/093/SRR18595693/SRR18595693_2.fastq.gz	5fd441406dcd7c464925321a257406c9;19738d4223bcbc8d45c5ffdbc41cf000
SRR18595699	SAMN27258451	SRX14726001	PRJNA822685	human oral metagenome	ILLUMINA	Illumina MiSeq	PAIRED	AMPLICON	GENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR185/099/SRR18595699/SRR18595699_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR185/099/SRR18595699/SRR18595699_2.fastq.gz	25ce1aa2d526d81c4ca5b5d69192c5fb;b646c354ab916833f586bf0b185a46d4
SRR18595703	SAMN27258447	SRX14725994	PRJNA822685	human oral metagenome	ILLUMINA	Illumina MiSeq	PAIRED	AMPLICON	GENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR185/003/SRR18595703/SRR18595703_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR185/003/SRR18595703/SRR18595703_2.fastq.gz	6d994989537d7d443b4b4f3acd5ed038;1f38260723af1f1b0df0f53a6c4ddcaa
SRR18595710	SAMN27258522	SRX14725980	PRJNA822685	human oral metagenome	ILLUMINA	Illumina MiSeq	PAIRED	AMPLICON	GENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR185/010/SRR18595710/SRR18595710_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR185/010/SRR18595710/SRR18595710_2.fastq.gz	3433e6365bb4e6ef76047d494d4d72d5;76fa33dce88fbdd538674f24e974f52f
SRR18595716	SAMN27258516	SRX14725968	PRJNA822685	human oral metagenome	ILLUMINA	Illumina MiSeq	PAIRED	AMPLICON	GENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR185/016/SRR18595716/SRR18595716_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR185/016/SRR18595716/SRR18595716_2.fastq.gz	22a26373ed07729732b4bb78e338eb05;88dfde485a641b5f919c0573ad436090
SRR18595722	SAMN27258482	SRX14725956	PRJNA822685	human oral metagenome	ILLUMINA	Illumina MiSeq	PAIRED	AMPLICON	GENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR185/022/SRR18595722/SRR18595722_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR185/022/SRR18595722/SRR18595722_2.fastq.gz	c4b505afe7ba18f856a10e1c5ac22f25;f16ab3b1d55316ad48d6eabb528682da
SRR18595727	SAMN27258477	SRX14725946	PRJNA822685	human oral metagenome	ILLUMINA	Illumina MiSeq	PAIRED	AMPLICON	GENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR185/027/SRR18595727/SRR18595727_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR185/027/SRR18595727/SRR18595727_2.fastq.gz	0b47bfbb501cc82ce17362479d92012a;10b63a9e4957ab5582447c482d84a379
SRR18595729	SAMN27258475	SRX14725942	PRJNA822685	human oral metagenome	ILLUMINA	Illumina MiSeq	PAIRED	AMPLICON	GENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR185/029/SRR18595729/SRR18595729_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR185/029/SRR18595729/SRR18595729_2.fastq.gz	ef6db20d8fcd31fb2f82e05c72e2ce77;1ad682ddcb97483f4bc1e85c118b85d5
SRR18595731	SAMN27258473	SRX14725938	PRJNA822685	human oral metagenome	ILLUMINA	Illumina MiSeq	PAIRED	AMPLICON	GENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR185/031/SRR18595731/SRR18595731_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR185/031/SRR18595731/SRR18595731_2.fastq.gz	6c8935c5e00e0331bcb878e511e01650;8cdac5e7f287df1975198967baf9057e
SRR18595733	SAMN27258472	SRX14725934	PRJNA822685	human oral metagenome	ILLUMINA	Illumina MiSeq	PAIRED	AMPLICON	GENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR185/033/SRR18595733/SRR18595733_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR185/033/SRR18595733/SRR18595733_2.fastq.gz	86b75cc7e54326abd60f24a44cbcf42d;48c5a0d473560e2f8bf73cd5b0f49a29
SRR18595735	SAMN27258470	SRX14725930	PRJNA822685	human oral metagenome	ILLUMINA	Illumina MiSeq	PAIRED	AMPLICON	GENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR185/035/SRR18595735/SRR18595735_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR185/035/SRR18595735/SRR18595735_2.fastq.gz	76eb3bb15fc26400de3e2e7ee60497c6;d6344da2b58b7fdb0eb0036f37eced74
SRR18595736	SAMN27258469	SRX14725928	PRJNA822685	human oral metagenome	ILLUMINA	Illumina MiSeq	PAIRED	AMPLICON	GENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR185/036/SRR18595736/SRR18595736_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR185/036/SRR18595736/SRR18595736_2.fastq.gz	7849765f915392ad81af97255d08f945;f8a95f1701e23e1a18d6589a4c0b8700
SRR18595737	SAMN27258468	SRX14725926	PRJNA822685	human oral metagenome	ILLUMINA	Illumina MiSeq	PAIRED	AMPLICON	GENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR185/037/SRR18595737/SRR18595737_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR185/037/SRR18595737/SRR18595737_2.fastq.gz	449c91a06a72fb47057121909643d9c9;4c37369195238fcf5338eec9bb2e17d9
SRR18595741	SAMN27258464	SRX14725918	PRJNA822685	human oral metagenome	ILLUMINA	Illumina MiSeq	PAIRED	AMPLICON	GENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR185/041/SRR18595741/SRR18595741_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR185/041/SRR18595741/SRR18595741_2.fastq.gz	870e2fdd345a1a6f7625515eb94e51a4;82ad1c63a97ffd99391baa8fe90cb6b6
SRR18595743	SAMN27258445	SRX14725914	PRJNA822685	human oral metagenome	ILLUMINA	Illumina MiSeq	PAIRED	AMPLICON	GENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR185/043/SRR18595743/SRR18595743_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR185/043/SRR18595743/SRR18595743_2.fastq.gz	9bd520eca8ebc23424f7fbebe29e7d7a;e9daad6052800d4baa98ad86c097e535
SRR18595745	SAMN27258461	SRX14725910	PRJNA822685	human oral metagenome	ILLUMINA	Illumina MiSeq	PAIRED	AMPLICON	GENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR185/045/SRR18595745/SRR18595745_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR185/045/SRR18595745/SRR18595745_2.fastq.gz	be4b49d763300a49c85503e96864e18c;ad8ae0f3078084d9a6a723dabdc97107
SRR18595748	SAMN27258522	SRX14725904	PRJNA822685	human oral metagenome	ILLUMINA	Illumina MiSeq	PAIRED	AMPLICON	GENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR185/048/SRR18595748/SRR18595748_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR185/048/SRR18595748/SRR18595748_2.fastq.gz	552e4bba69505eedc9521a8304515bbf;a6df836134f9fe4fa1806f98112cca0f
SRR18595749	SAMN27258459	SRX14725902	PRJNA822685	human oral metagenome	ILLUMINA	Illumina MiSeq	PAIRED	AMPLICON	GENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR185/049/SRR18595749/SRR18595749_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR185/049/SRR18595749/SRR18595749_2.fastq.gz	f2227ef0508814d5b4143b0f6904bf3a;44c2907d4c90ad1efb15525b1ab14f7c
SRR18595751	SAMN27258491	SRX14725898	PRJNA822685	human oral metagenome	ILLUMINA	Illumina MiSeq	PAIRED	AMPLICON	GENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR185/051/SRR18595751/SRR18595751_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR185/051/SRR18595751/SRR18595751_2.fastq.gz	184493b4538f98a7c71b6018dbe2f32f;b021ef7c9e596fbb66b906a2f1b3b8f1
SRR18595753	SAMN27258489	SRX14725894	PRJNA822685	human oral metagenome	ILLUMINA	Illumina MiSeq	PAIRED	AMPLICON	GENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR185/053/SRR18595753/SRR18595753_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR185/053/SRR18595753/SRR18595753_2.fastq.gz	10d5773450f1903c2929c342c1f410f3;9d691306a9e1403cc038a7082f2e9554
SRR18595756	SAMN27258486	SRX14725888	PRJNA822685	human oral metagenome	ILLUMINA	Illumina MiSeq	PAIRED	AMPLICON	GENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR185/056/SRR18595756/SRR18595756_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR185/056/SRR18595756/SRR18595756_2.fastq.gz	01af8e3b34561447e31c47715fe2e6fb;82584e6bbd134716e4073e817ec8d1e5
SRR18595759	SAMN27258483	SRX14725882	PRJNA822685	human oral metagenome	ILLUMINA	Illumina MiSeq	PAIRED	AMPLICON	GENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR185/059/SRR18595759/SRR18595759_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR185/059/SRR18595759/SRR18595759_2.fastq.gz	67776f5a2826ce0a74c38b976a7acefe;a020eb56adbc4426632f5ae0c0b4fa62
SRR18595760	SAMN27258482	SRX14725880	PRJNA822685	human oral metagenome	ILLUMINA	Illumina MiSeq	PAIRED	AMPLICON	GENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR185/060/SRR18595760/SRR18595760_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR185/060/SRR18595760/SRR18595760_2.fastq.gz	a0eae62e3968d36a353bd677a2cee650;4730b759c718bca920f318b0a12dac54
SRR18595762	SAMN27258481	SRX14725876	PRJNA822685	human oral metagenome	ILLUMINA	Illumina MiSeq	PAIRED	AMPLICON	GENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR185/062/SRR18595762/SRR18595762_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR185/062/SRR18595762/SRR18595762_2.fastq.gz	7ce315d6a4b85e7a21184c1b818025e2;67e79f5de604cdcb7a1ec2574f4f26dd
SRR18595764	SAMN27258479	SRX14725872	PRJNA822685	human oral metagenome	ILLUMINA	Illumina MiSeq	PAIRED	AMPLICON	GENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR185/064/SRR18595764/SRR18595764_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR185/064/SRR18595764/SRR18595764_2.fastq.gz	2ba0915c8810a72755a025244a5364e6;8beb88ffd1baaf2ea64ac9cbc73edc06
SRR18595770	SAMN27258473	SRX14725860	PRJNA822685	human oral metagenome	ILLUMINA	Illumina MiSeq	PAIRED	AMPLICON	GENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR185/070/SRR18595770/SRR18595770_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR185/070/SRR18595770/SRR18595770_2.fastq.gz	256cd4e87ed7892a13e3022515f793b5;9bca0fbc75a97decec1a1d248f284ecd
SRR18595771	SAMN27258472	SRX14725858	PRJNA822685	human oral metagenome	ILLUMINA	Illumina MiSeq	PAIRED	AMPLICON	GENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR185/071/SRR18595771/SRR18595771_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR185/071/SRR18595771/SRR18595771_2.fastq.gz	5c120c4f6f38d2ebfde87174f96c8b84;135c67fd0feac74a0a63c3e81246a6dc
SRR18595772	SAMN27258454	SRX14725856	PRJNA822685	human oral metagenome	ILLUMINA	Illumina MiSeq	PAIRED	AMPLICON	GENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR185/072/SRR18595772/SRR18595772_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR185/072/SRR18595772/SRR18595772_2.fastq.gz	d430f1d8e2d22ce13160e00c477a2759;f53d89ca1c6e3ad878b025ff10fd351b
SRR18595773	SAMN27258471	SRX14725854	PRJNA822685	human oral metagenome	ILLUMINA	Illumina MiSeq	PAIRED	AMPLICON	GENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR185/073/SRR18595773/SRR18595773_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR185/073/SRR18595773/SRR18595773_2.fastq.gz	14882983895752e901ccc080e69cf3d4;5587bc9c75b0412699604f8d9252b090
SRR18595775	SAMN27258469	SRX14725850	PRJNA822685	human oral metagenome	ILLUMINA	Illumina MiSeq	PAIRED	AMPLICON	GENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR185/075/SRR18595775/SRR18595775_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR185/075/SRR18595775/SRR18595775_2.fastq.gz	06d759f5bbdbbd2589b994d41af8ef04;50dc3bee5c4547dd58b8e361d48d4d6f
SRR18595776	SAMN27258468	SRX14725848	PRJNA822685	human oral metagenome	ILLUMINA	Illumina MiSeq	PAIRED	AMPLICON	GENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR185/076/SRR18595776/SRR18595776_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR185/076/SRR18595776/SRR18595776_2.fastq.gz	0ea4430b93d09cda4901bf3c1ebfac3b;dc0ebe18da65f62cea6980b9fb4b8822
SRR18595778	SAMN27258466	SRX14725844	PRJNA822685	human oral metagenome	ILLUMINA	Illumina MiSeq	PAIRED	AMPLICON	GENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR185/078/SRR18595778/SRR18595778_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR185/078/SRR18595778/SRR18595778_2.fastq.gz	5b2fe6ea9c84293a008ac54d21d6580b;d4a39b67875d7e838dd71c504a437e47
SRR18595779	SAMN27258465	SRX14725842	PRJNA822685	human oral metagenome	ILLUMINA	Illumina MiSeq	PAIRED	AMPLICON	GENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR185/079/SRR18595779/SRR18595779_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR185/079/SRR18595779/SRR18595779_2.fastq.gz	f53867e4466ea0257ae220ccbacf7c75;943e6f6a4963722f2cf0378be6048b04
SRR18595783	SAMN27258520	SRX14725834	PRJNA822685	human oral metagenome	ILLUMINA	Illumina MiSeq	PAIRED	AMPLICON	GENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR185/083/SRR18595783/SRR18595783_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR185/083/SRR18595783/SRR18595783_2.fastq.gz	3292eff1ed0e53837a0f6a50464d20c2;8c2c12374395eca6298ab99e417fddd0
SRR18595784	SAMN27258519	SRX14725832	PRJNA822685	human oral metagenome	ILLUMINA	Illumina MiSeq	PAIRED	AMPLICON	GENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR185/084/SRR18595784/SRR18595784_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR185/084/SRR18595784/SRR18595784_2.fastq.gz	20f607a11af39e2b06d92173aaeea35e;d5bb49f7f39acfbcfe1d3cc4a71a0b6d
SRR18595785	SAMN27258518	SRX14725830	PRJNA822685	human oral metagenome	ILLUMINA	Illumina MiSeq	PAIRED	AMPLICON	GENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR185/085/SRR18595785/SRR18595785_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR185/085/SRR18595785/SRR18595785_2.fastq.gz	b1b9a8d55497c5f3b5508d8c312ca168;d71df59f64a9a25198df8b688a88c91c
SRR18595790	SAMN27258513	SRX14725820	PRJNA822685	human oral metagenome	ILLUMINA	Illumina MiSeq	PAIRED	AMPLICON	GENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR185/090/SRR18595790/SRR18595790_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR185/090/SRR18595790/SRR18595790_2.fastq.gz	6ae2ca2777011c8a81a6de06e9732ccf;cf7c26ffd4ed7eaa6bd5c099dd1d3035
SRR18595791	SAMN27258512	SRX14725818	PRJNA822685	human oral metagenome	ILLUMINA	Illumina MiSeq	PAIRED	AMPLICON	GENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR185/091/SRR18595791/SRR18595791_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR185/091/SRR18595791/SRR18595791_2.fastq.gz	8759f95aa384340cf66dd93e38a66d48;f29b885708a560290b394e8974a5c19c
