sample-id	input_reads	filtered_reads	denoised_reads	merged_reads	non_chimeric_reads
SRR18595688	31707	10344	10178	8742	8716
SRR18595689	27720	9093	8855	7978	7977
SRR18595690	21734	10968	10921	9734	9734
SRR18595691	12788	3412	3324	2478	2478
SRR18595692	14943	5369	5255	5005	4617
SRR18595693	16810	5622	5438	4689	4688
SRR18595694	3790	1146	1112	793	793
SRR18595695	26046	8339	8224	7207	7207
SRR18595696	8061	2341	2268	1850	1850
SRR18595697	40392	21651	21442	13899	13882
SRR18595698	29892	15653	15421	11628	11571
SRR18595699	6213	2019	1945	1385	1385
SRR18595700	5728	1322	1249	948	948
SRR18595701	8314	2796	2710	2481	2481
SRR18595702	8452	2648	2574	1685	1685
SRR18595703	18756	5816	5676	4747	4747
SRR18595704	28988	9017	8658	6311	6187
SRR18595705	10989	3709	3625	3187	3187
SRR18595706	9636	3127	2991	2318	2318
SRR18595707	38299	19092	18537	16139	15741
SRR18595708	41369	13382	12897	10783	9597
SRR18595709	16123	5067	4953	3947	3947
SRR18595710	46492	16537	15557	8264	7519
SRR18595711	48009	17291	16770	10261	9535
SRR18595712	32212	10582	10143	7767	6060
SRR18595713	48315	15523	15041	10952	10300
SRR18595714	30209	1542	1233	651	651
SRR18595715	81028	2151	2102	822	822
SRR18595716	79876	30113	29622	10661	7383
SRR18595717	77117	21937	21708	19771	19641
SRR18595718	34491	9770	9472	7064	6961
SRR18595719	2577	274	228	200	200
SRR18595720	21556	6182	6101	5373	5371
SRR18595721	28711	9957	9592	7955	7897
SRR18595722	20226	6104	6029	4462	4460
SRR18595723	22237	2538	2428	796	796
SRR18595724	23911	6518	6474	4522	4522
SRR18595725	45478	14453	14002	10109	9984
SRR18595726	40638	3809	3717	2005	1994
SRR18595727	31907	9032	8936	5518	5516
SRR18595728	38033	9075	8883	8221	8161
SRR18595729	26483	7279	7158	6657	6640
SRR18595730	40790	11638	11323	8493	8446
SRR18595731	31638	8690	8518	7217	7205
SRR18595732	30977	9507	9279	7369	7369
SRR18595733	27108	8052	7206	4960	4923
SRR18595734	9212	2952	2894	2149	2149
SRR18595735	43364	13604	13121	9650	9384
SRR18595736	38969	13548	12939	8238	7872
SRR18595737	38786	13034	12598	8083	7746
SRR18595738	32036	10542	10228	8137	7966
SRR18595739	28825	10232	10130	9754	9742
SRR18595740	34111	11481	11236	9329	9199
SRR18595741	34191	10804	10435	7889	7847
SRR18595742	10001	3195	3116	2178	2178
SRR18595743	17988	6164	5814	3635	3602
SRR18595744	50624	14288	14039	9478	9470
SRR18595745	3993	366	319	211	211
SRR18595746	35053	11762	11507	7847	7843
SRR18595747	57289	18143	17670	13864	13786
SRR18595748	42945	13879	13496	10945	10863
SRR18595749	47562	26019	25885	23323	22987
SRR18595750	20073	6235	6140	5241	5241
SRR18595751	27404	8465	8362	7825	7792
SRR18595752	25102	7318	7022	5548	5528
SRR18595753	2624	723	689	496	496
SRR18595754	28611	6616	6476	5686	5317
SRR18595755	10111	2492	2394	1895	1895
SRR18595756	3178	708	647	596	596
SRR18595757	7172	1904	1835	1124	1124
SRR18595758	9116	2364	2277	1884	1824
SRR18595759	20511	7008	6966	6061	6061
SRR18595760	18419	4850	4776	4493	4491
SRR18595761	30869	9504	9182	6945	6886
SRR18595762	41286	10246	10032	7911	7878
SRR18595763	26294	6922	6844	6218	6218
SRR18595764	41930	11866	11529	9962	9785
SRR18595765	10165	2949	2897	2613	2613
SRR18595766	14391	4126	4051	3222	3218
SRR18595767	7735	1878	1848	1670	1670
SRR18595768	11879	3356	3308	3030	3030
SRR18595769	24249	6453	6420	3088	3088
SRR18595770	37810	9628	9429	7286	7278
SRR18595771	12801	3630	3565	2981	2981
SRR18595772	25645	8720	8617	7642	7641
SRR18595773	40437	11273	10762	8275	8215
SRR18595774	20656	6679	6511	3847	3847
SRR18595775	22327	5262	5055	4066	4041
SRR18595776	12748	3890	3829	3510	3453
SRR18595777	11867	3402	3247	2586	2586
SRR18595778	33983	11659	11472	10852	10808
SRR18595779	29538	9624	9204	8182	7768
