genus	SRR18595688	SRR18595689	SRR18595690	SRR18595691	SRR18595692	SRR18595693	SRR18595694	SRR18595695	SRR18595696	SRR18595697	SRR18595698	SRR18595699	SRR18595700	SRR18595701	SRR18595702	SRR18595703	SRR18595704	SRR18595705	SRR18595706	SRR18595707	SRR18595708	SRR18595709	SRR18595710	SRR18595711	SRR18595712	SRR18595713	SRR18595714	SRR18595715	SRR18595716	SRR18595717	SRR18595718	SRR18595719	SRR18595720	SRR18595721	SRR18595722	SRR18595723	SRR18595724	SRR18595725	SRR18595726	SRR18595727	SRR18595728	SRR18595729	SRR18595730	SRR18595731	SRR18595732	SRR18595733	SRR18595734	SRR18595735	SRR18595736	SRR18595737	SRR18595738	SRR18595739	SRR18595740	SRR18595741	SRR18595742	SRR18595743	SRR18595744	SRR18595745	SRR18595746	SRR18595747	SRR18595748	SRR18595749	SRR18595750	SRR18595751	SRR18595752	SRR18595753	SRR18595754	SRR18595755	SRR18595756	SRR18595757	SRR18595758	SRR18595759	SRR18595760	SRR18595761	SRR18595762	SRR18595763	SRR18595764	SRR18595765	SRR18595766	SRR18595767	SRR18595768	SRR18595769	SRR18595770	SRR18595771	SRR18595772	SRR18595773	SRR18595774	SRR18595775	SRR18595776	SRR18595777	SRR18595778	SRR18595779	SRR18595780	SRR18595781	SRR18595782	SRR18595783	SRR18595784	SRR18595785	SRR18595786	SRR18595787	SRR18595788	SRR18595789	SRR18595790	SRR18595791	SRR18595792	SRR18595793	SRR18595794	SRR18595795	SRR18595796	SRR18595797	SRR18595798	SRR18595799	SRR18595800	SRR18595801	SRR18595802	SRR18595803	SRR18595804	SRR18595805	SRR18595806	SRR18595807	SRR18595808	SRR18595809	SRR18595810	SRR18595811	SRR18595812	SRR18595813	SRR18595814	SRR18595815	SRR18595816	SRR18595817	SRR18595818	SRR18595819	SRR18595820	SRR18595821	SRR18595822	SRR18595823	SRR18595824	SRR18595825	SRR18595826	SRR18595827	SRR18595828	SRR18595829	SRR18595830	SRR18595831	SRR18595832	SRR18595833	SRR18595834	SRR18595835	SRR18595836	SRR18595837	SRR18595838	SRR18595839	SRR18595840	SRR18595841	SRR18595842	SRR18595843	SRR18595844	SRR18595845	SRR18595846	SRR18595847	SRR18595848	SRR18595849
Unclassified	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0
g__Abiotrophia	28	0	0	0	0	0	37	31	0	0	0	0	0	0	0	0	0	0	157	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	146	0	0	102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	23	0	0	0	51	0	0	0	0	0	0	0	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	85	0	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0
g__Acholeplasma	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Achromobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	249	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Acidiferrimicrobium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Acidocella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Acidovorax	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Acinetobacter	0	0	3	0	83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	10	44	51	0	0	0	77	0	0	0	0	0	0	94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	35	0	0	0	0	0	0	0	0	0	0	0	482	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	138	0	0	0	0	1088
g__Actinobacillus	0	0	0	0	0	0	0	0	0	57	24	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	125	0	440	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62	0	0	0	0	0	0	21	0	0	85	0	35	0	0	0	0	0	0	0	0	0	0	151	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Actinomyces	0	22	56	27	0	0	0	14	0	69	0	20	0	0	21	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	21	0	0	0	0	0	0	0	13	0	62	0	0	0	0	0	0	0	10	28	0	0	0	12	0	0	0	0	0	12	0	12	20	0	23	0	0	0	0	0	0	0	0	91	0	0	0	0	0	38	0	0	0	0	109	0	0	0	5	0	0	0	84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	3	0	0
