genus	SRR18595688	SRR18595689	SRR18595690	SRR18595691	SRR18595692	SRR18595693	SRR18595694	SRR18595695	SRR18595696	SRR18595697	SRR18595698	SRR18595699	SRR18595700	SRR18595701	SRR18595702	SRR18595703	SRR18595704	SRR18595705	SRR18595706	SRR18595707	SRR18595708	SRR18595709	SRR18595710	SRR18595711	SRR18595712	SRR18595713	SRR18595714	SRR18595715	SRR18595716	SRR18595717	SRR18595718	SRR18595719	SRR18595720	SRR18595721	SRR18595722	SRR18595723	SRR18595724	SRR18595725	SRR18595726	SRR18595727	SRR18595728	SRR18595729	SRR18595730	SRR18595731	SRR18595732	SRR18595733	SRR18595734	SRR18595735	SRR18595736	SRR18595737	SRR18595738	SRR18595739	SRR18595740	SRR18595741	SRR18595742	SRR18595743	SRR18595744	SRR18595745	SRR18595746	SRR18595747	SRR18595748	SRR18595749	SRR18595750	SRR18595751	SRR18595752	SRR18595753	SRR18595754	SRR18595755	SRR18595756	SRR18595757	SRR18595758	SRR18595759	SRR18595760	SRR18595761	SRR18595762	SRR18595763	SRR18595764	SRR18595765	SRR18595766	SRR18595767	SRR18595768	SRR18595769	SRR18595770	SRR18595771	SRR18595772	SRR18595773	SRR18595774	SRR18595775	SRR18595776	SRR18595777	SRR18595778	SRR18595779	SRR18595780	SRR18595781	SRR18595782	SRR18595783	SRR18595784	SRR18595785	SRR18595786	SRR18595787	SRR18595788	SRR18595789	SRR18595790	SRR18595791	SRR18595792	SRR18595793	SRR18595794	SRR18595795	SRR18595796	SRR18595797	SRR18595798	SRR18595799	SRR18595800	SRR18595801	SRR18595802	SRR18595803	SRR18595804	SRR18595805	SRR18595806	SRR18595807	SRR18595808	SRR18595809	SRR18595810	SRR18595811	SRR18595812	SRR18595813	SRR18595814	SRR18595815	SRR18595816	SRR18595817	SRR18595818	SRR18595819	SRR18595820	SRR18595821	SRR18595822	SRR18595823	SRR18595824	SRR18595825	SRR18595826	SRR18595827	SRR18595828	SRR18595829	SRR18595830	SRR18595831	SRR18595832	SRR18595833	SRR18595834	SRR18595835	SRR18595836	SRR18595837	SRR18595838	SRR18595839	SRR18595840	SRR18595841	SRR18595842	SRR18595843	SRR18595844	SRR18595845	SRR18595846	SRR18595847	SRR18595848	SRR18595849
Unclassified	0	0	0	0	0	0	0.0052840159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004793664	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0051221434	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0026867276	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0043224299	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0035279025	0	0
g__Abiotrophia	0.0032124828	0	0	0	0	0	0.048877147	0.0043133435	0	0	0	0	0	0	0	0	0	0	0.068083261	0.00088979281	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01003009	0.026468455	0	0	0.012082445	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0019040366	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004169369	0	0	0	0	0	0	0.0010545621	0	0	0	0.0071538785	0	0	0	0	0	0	0	0	0.0023791027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0099299065	0	0	0	0	0	0	0	0.0026656748	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0092936803	0	0	0
g__Acholeplasma	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0006258475	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00087044828	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00018530529	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0047417945	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Achromobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.015825601	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05952381	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00038842494	0	0	0	0	0	0	0	0.0038191262	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Acidiferrimicrobium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0038077106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Acidocella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0060296846	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Acidovorax	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.023809524	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0040544454	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Acinetobacter	0	0	0.00031282586	0	0.018161926	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0052752002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00055517002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00082860881	0.0020842018	0.0056584362	0.0092257598	0	0	0	0.12919463	0	0	0	0	0	0	0.015117401	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0020950785	0	0	0.0021486893	0	0	0	0	0	0	0	0	0	0	0	0.059616574	0	0	0	0	0.0051742919	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.007526178	0	0	0	0	0	0	0	0.017640291	0	0	0	0	0.13812365
g__Actinobacillus	0	0	0	0	0	0	0	0	0	0.0041087004	0.0020748682	0	0	0	0.018348624	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0040521717	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0042681396	0	0	0	0	0	0	0	0	0	0.01150695	0	0.091704877	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.019266625	0	0	0	0	0	0	0.0025584795	0	0	0.024616276	0	0.0032428426	0	0	0	0	0	0	0	0	0	0	0.021181091	0	0	0	0	0	0	0	0	0.0026704214	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0040285095	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Actinomyces	0	0.0027652086	0.0058394161	0.010980073	0	0	0	0.0019479616	0	0.0049736899	0	0.014803849	0	0	0.012844037	0	0.0069500566	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0031919745	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00090020576	0.0037988423	0	0	0	0	0	0	0	0.0029024336	0	0.0078700178	0	0	0	0	0	0	0	0.0013740038	0.0094180962	0	0	0	0.0029725043	0	0	0	0	0	0.002078642	0	0.0043652237	0.0068965517	0	0.0014796706	0	0	0	0	0	0	0	0	0.0062906125	0	0	0	0	0	0.0024683339	0	0	0	0	0.0083256951	0	0	0	0.00085019554	0	0	0	0.0086767896	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00091257529	0	0	0	0	0	0	0	0	0	0	0	0.00048107761	0	0
