genus	n_cohorts	n_DADA2_SILVA	in_sensitivity_GG	n_up	n_down	direction	direction_consistent	frac_agree	n_sig_q0.1	n_nominal_p0.05	evidence_hits	min_q	mean_abs_effect	mean_median_effect	mean_prevalence	cohort_effects	score	tier	rank
g__Neisseria	3	2	1	0	3	down	1	1	1	2	1.5	0.0114911	1.28739	-1.28739	0.8802	666746(SILVA-0.211);822685(SILVA*-1.55);813034(GG-2.1)	5.99793	A_all3_consistent	1
g__Veillonella	3	2	1	0	3	down	1	1	1	2	1.5	2.04004e-05	1.17036	-1.17036	0.8374	666746(SILVA-0.275);822685(SILVA*-2.07);813034(GG-1.17)	5.51309	A_all3_consistent	2
g__Peptostreptococcus	3	2	1	3	0	up	1	1	2	1	2	0.0180647	0.737597	0.737597	0.7719	666746(SILVA*+0.225);822685(SILVA*+0.815);813034(GG+1.17)	5.14257	A_all3_consistent	3
g__Rothia	3	2	1	0	3	down	1	1	1	2	1.5	0.00410632	1.27412	-1.27412	0.7214	666746(SILVA-0.412);822685(SILVA*-0.775);813034(GG-2.64)	5.12908	A_all3_consistent	4
g__Campylobacter	3	2	1	3	0	up	1	1	2	2	2	0.0154164	0.469237	0.469237	0.8342	666746(SILVA*+0.993);822685(SILVA*+0.342);813034(GG+0.0722)	4.74906	A_all3_consistent	5
g__Parvimonas	3	2	1	3	0	up	1	1	1	2	1.5	0.0388238	0.937794	0.937794	0.7419	666746(SILVA+0.0828);822685(SILVA*+0.575);813034(GG+2.16)	4.56178	A_all3_consistent	6
g__Streptococcus	3	2	1	0	3	down	1	1	1	1	1	0.000109322	0.874726	-0.874726	0.978	666746(SILVA-0.23);822685(SILVA*-0.927);813034(GG-1.47)	4.39262	A_all3_consistent	7
g__Catonella	3	2	1	3	0	up	1	1	2	2	2	0.013465	0.542621	0.542621	0.6785	666746(SILVA*+0.666);822685(SILVA*+0.58);813034(GG+0.382)	4.23263	A_all3_consistent	8
g__Actinomyces	3	2	1	0	3	down	1	1	2	2	2	0.00412384	0.623546	-0.623546	0.5789	666746(SILVA*-1.04);822685(SILVA*-0.111);813034(GG-0.723)	3.9416	A_all3_consistent	9
g__Megasphaera	3	2	1	0	3	down	1	1	2	1	2	0.0455351	0.509823	-0.509823	0.5567	666746(SILVA*-0.931);822685(SILVA*-0.088);813034(GG-0.51)	3.6131	A_all3_consistent	10
g__Granulicatella	3	2	1	0	3	down	1	1	1	1	1	9.18705e-06	0.672887	-0.672887	0.7974	666746(SILVA-0.473);822685(SILVA*-1.45);813034(GG-0.0963)	3.40413	A_all3_consistent	11
g__Fusobacterium	3	2	1	3	0	up	1	1	1	1	1	0.0093789	0.611101	0.611101	0.8185	666746(SILVA+0.299);822685(SILVA*+1.1);813034(GG+0.439)	3.36576	A_all3_consistent	12
g__Filifactor	3	2	1	3	0	up	1	1	2	2	2	0.000390308	0.359407	0.359407	0.4736	666746(SILVA*+0.25);822685(SILVA*+0.197);813034(GG+0.631)	2.97643	A_all3_consistent	13
g__Treponema	3	2	1	3	0	up	1	1	1	1	1	0.0308664	0.52447	0.52447	0.6512	666746(SILVA+0.152);822685(SILVA*+0.576);813034(GG+0.845)	2.71229	A_all3_consistent	14
g__Corynebacterium	3	2	1	0	3	down	1	1	1	1	1	0.0230813	0.478198	-0.478198	0.6065	666746(SILVA*-0.971);822685(SILVA-0.0319);813034(GG-0.432)	2.51355	A_all3_consistent	15
g__Acidovorax	3	2	1	3	0	up	1	1	2	3	2.5	0.0338832	0.60328	0.60328	0.2058	666746(SILVA*+0.142);822685(SILVA*+0.0836);813034(GG+1.58)	2.50248	A_all3_consistent	16
g__Oribacterium	3	2	1	0	3	down	1	1	1	1	1	0.0388238	0.275595	-0.275595	0.6945	666746(SILVA-0.28);822685(SILVA*-0.427);813034(GG-0.12)	2.46181	A_all3_consistent	17
g__Peptococcus	3	2	1	3	0	up	1	1	1	1	1	0.0180647	0.335763	0.335763	0.5116	666746(SILVA+0.0889);822685(SILVA*+0.31);813034(GG+0.609)	2.05932	A_all3_consistent	18
g__Bergeyella	2	2	0	2	0	up	1	1	1	1	1	0.0179546	0.769624	0.769624	0.5172	666746(SILVA*+1.53);822685(SILVA+0.00621);813034(NA)	1.93607	C_DADA2_consistent_GGnotdetected	19
g__Azospirillum	3	2	1	3	0	up	1	1	2	1	2	0.00157225	0.191815	0.191815	0.1774	666746(SILVA*+0.135);822685(SILVA*+0.0746);813034(GG+0.366)	1.58399	A_all3_consistent	20
g__Deinococcus	3	2	1	3	0	up	1	1	2	2	2	0.01315	0.175007	0.175007	0.1637	666746(SILVA*+0.216);822685(SILVA*+0.0836);813034(GG+0.225)	1.51632	A_all3_consistent	21
g__Lentimicrobium	2	2	0	2	0	up	1	1	2	2	2	0.0388238	0.199935	0.199935	0.2948	666746(SILVA*+0.171);822685(SILVA*+0.229);813034(NA)	1.50358	C_DADA2_consistent_GGnotdetected	22
g__Brevibacterium	3	2	1	3	0	up	1	1	2	2	2	0.0179546	0.168204	0.168204	0.1454	666746(SILVA*+0.139);822685(SILVA*+0.0836);813034(GG+0.282)	1.44271	A_all3_consistent	23
