genus	genus_name	PRJNA666746_SILVA	PRJNA822685_SILVA	PRJNA813034_Greengenes	n_cohorts	in_both_SILVA	status	note
g__1-68	1-68	0	0	1	1	0	Greengenes-only	Greengenes-style environmental/candidate label (no literal SILVA counterpart)
g__[Clostridium]_innocuum_group	[Clostridium]_innocuum_group	1	0	0	1	0	SILVA-only	SILVA-style lineage/informative label (no literal Greengenes counterpart)
g__[Eubacterium]	[Eubacterium]	0	0	1	1	0	Greengenes-only	SILVA bracketed label
g__[Eubacterium]_brachy_group	[Eubacterium]_brachy_group	1	1	0	2	1	shared	SILVA-style lineage/informative label (no literal Greengenes counterpart)
g__[Eubacterium]_eligens_group	[Eubacterium]_eligens_group	1	0	0	1	0	SILVA-only	SILVA-style lineage/informative label (no literal Greengenes counterpart)
g__[Eubacterium]_saphenum_group	[Eubacterium]_saphenum_group	1	1	0	2	1	shared	SILVA-style lineage/informative label (no literal Greengenes counterpart)
g__[Eubacterium]_sulci_group	[Eubacterium]_sulci_group	1	1	0	2	1	shared	SILVA-style lineage/informative label (no literal Greengenes counterpart)
g__[Eubacterium]_ventriosum_group	[Eubacterium]_ventriosum_group	0	1	0	1	0	SILVA-only	SILVA-style lineage/informative label (no literal Greengenes counterpart)
g__[Eubacterium]_xylanophilum_group	[Eubacterium]_xylanophilum_group	1	0	0	1	0	SILVA-only	SILVA-style lineage/informative label (no literal Greengenes counterpart)
g__[Eubacterium]_yurii_group	[Eubacterium]_yurii_group	1	1	0	2	1	shared	SILVA-style lineage/informative label (no literal Greengenes counterpart)
g__[Polyangium]_brachysporum_group	[Polyangium]_brachysporum_group	1	0	0	1	0	SILVA-only	SILVA-style lineage/informative label (no literal Greengenes counterpart)
g__[Prevotella]	[Prevotella]	0	0	1	1	0	Greengenes-only	SILVA bracketed label
g__[Ruminococcus]	[Ruminococcus]	0	0	1	1	0	Greengenes-only	SILVA bracketed label
g__[Ruminococcus]_gnavus_group	[Ruminococcus]_gnavus_group	1	0	0	1	0	SILVA-only	SILVA-style lineage/informative label (no literal Greengenes counterpart)
g__Abiotrophia	Abiotrophia	1	1	1	3	1	shared	plain genus name
g__Acholeplasma	Acholeplasma	1	1	0	2	1	shared	plain genus name
g__Achromobacter	Achromobacter	1	1	1	3	1	shared	plain genus name
g__Acidaminococcus	Acidaminococcus	0	0	1	1	0	Greengenes-only	plain genus name
g__Acidibacter	Acidibacter	1	0	0	1	0	SILVA-only	plain genus name
g__Acidiferrimicrobium	Acidiferrimicrobium	0	1	0	1	0	SILVA-only	plain genus name
g__Acidocella	Acidocella	0	1	0	1	0	SILVA-only	plain genus name
g__Acidovorax	Acidovorax	1	1	1	3	1	shared	plain genus name
g__Acinetobacter	Acinetobacter	1	1	1	3	1	shared	plain genus name
g__Actinobacillus	Actinobacillus	1	1	1	3	1	shared	plain genus name
g__Actinomadura	Actinomadura	0	0	1	1	0	Greengenes-only	plain genus name
g__Actinomyces	Actinomyces	1	1	1	3	1	shared	plain genus name
g__Actinomycetospora	Actinomycetospora	1	0	1	2	0	shared	plain genus name
g__Actinoplanes	Actinoplanes	0	0	1	1	0	Greengenes-only	plain genus name
g__Actinopolymorpha	Actinopolymorpha	0	0	1	1	0	Greengenes-only	plain genus name
g__Actinotalea	Actinotalea	1	0	0	1	0	SILVA-only	plain genus name
g__Adlercreutzia	Adlercreutzia	0	0	1	1	0	Greengenes-only	plain genus name
g__Aeribacillus	Aeribacillus	1	0	0	1	0	SILVA-only	plain genus name
g__Aeriscardovia	Aeriscardovia	0	1	0	1	0	SILVA-only	plain genus name
g__Aerococcus	Aerococcus	1	1	1	3	1	shared	plain genus name
g__Aeromicrobium	Aeromicrobium	0	0	1	1	0	Greengenes-only	plain genus name
g__Aeromonas	Aeromonas	1	1	0	2	1	shared	plain genus name
g__Aestuariimicrobium	Aestuariimicrobium	1	0	0	1	0	SILVA-only	plain genus name
g__AF12	AF12	0	0	1	1	0	Greengenes-only	plain genus name
g__Afipia	Afipia	1	0	0	1	0	SILVA-only	plain genus name
g__Agathobacter	Agathobacter	1	0	0	1	0	SILVA-only	plain genus name
g__Agathobaculum	Agathobaculum	1	0	0	1	0	SILVA-only	plain genus name
g__Aggregatibacter	Aggregatibacter	1	1	1	3	1	shared	plain genus name
g__Agrobacterium	Agrobacterium	1	0	1	2	0	shared	plain genus name
g__Agromyces	Agromyces	0	0	1	1	0	Greengenes-only	plain genus name
g__Ahniella	Ahniella	1	0	0	1	0	SILVA-only	plain genus name
g__Akkermansia	Akkermansia	0	1	1	2	0	shared	plain genus name
g__Alcaligenes	Alcaligenes	1	0	0	1	0	SILVA-only	plain genus name
g__Alcanivorax	Alcanivorax	0	0	1	1	0	Greengenes-only	plain genus name
g__Algoriphagus	Algoriphagus	1	0	0	1	0	SILVA-only	plain genus name
g__Alishewanella	Alishewanella	1	0	0	1	0	SILVA-only	plain genus name
g__Alistipes	Alistipes	1	1	0	2	1	shared	plain genus name
g__Alkaliphilus	Alkaliphilus	0	0	1	1	0	Greengenes-only	plain genus name
g__Alkanindiges	Alkanindiges	1	0	1	2	0	shared	plain genus name
g__Allisonella	Allisonella	1	0	0	1	0	SILVA-only	plain genus name
g__Allobaculum	Allobaculum	0	0	1	1	0	Greengenes-only	plain genus name
g__Alloiococcus	Alloiococcus	1	0	1	2	0	shared	plain genus name
g__Alloprevotella	Alloprevotella	1	1	0	2	1	shared	plain genus name
g__Alloscardovia	Alloscardovia	1	1	0	2	1	shared	plain genus name
g__Alteraurantiacibacter	Alteraurantiacibacter	1	0	0	1	0	SILVA-only	plain genus name
g__Altererythrobacter	Altererythrobacter	1	0	0	1	0	SILVA-only	plain genus name
g__Alysiella	Alysiella	1	1	0	2	1	shared	plain genus name
g__Amaricoccus	Amaricoccus	0	0	1	1	0	Greengenes-only	plain genus name
g__Aminipila	Aminipila	1	1	0	2	1	shared	plain genus name
g__Ammoniphilus	Ammoniphilus	1	0	1	2	0	shared	plain genus name
g__Amphiplicatus	Amphiplicatus	1	0	0	1	0	SILVA-only	plain genus name
g__Anabaena	Anabaena	0	0	1	1	0	Greengenes-only	plain genus name
g__Anaerobacillus	Anaerobacillus	0	0	1	1	0	Greengenes-only	plain genus name
g__Anaerobacterium	Anaerobacterium	1	0	0	1	0	SILVA-only	plain genus name
g__Anaerobutyricum	Anaerobutyricum	1	1	0	2	1	shared	plain genus name
g__Anaerococcus	Anaerococcus	1	1	1	3	1	shared	plain genus name
g__Anaeroglobus	Anaeroglobus	1	1	0	2	1	shared	plain genus name
g__Anaerolinea	Anaerolinea	1	0	0	1	0	SILVA-only	plain genus name
g__Anaeroplasma	Anaeroplasma	0	0	1	1	0	Greengenes-only	plain genus name
g__Anaerostipes	Anaerostipes	1	1	1	3	1	shared	plain genus name
g__Anaerotruncus	Anaerotruncus	0	0	1	1	0	Greengenes-only	plain genus name
g__Anaerovorax	Anaerovorax	1	1	1	3	1	shared	plain genus name
g__Anoxybacillus	Anoxybacillus	1	0	1	2	0	shared	plain genus name
g__Aquabacterium	Aquabacterium	1	0	0	1	0	SILVA-only	plain genus name
g__Aquicella	Aquicella	0	0	1	1	0	Greengenes-only	plain genus name
g__Aquimonas	Aquimonas	1	0	0	1	0	SILVA-only	plain genus name
g__Arachnia	Arachnia	1	0	0	1	0	SILVA-only	plain genus name
g__Arcanobacterium	Arcanobacterium	0	0	1	1	0	Greengenes-only	plain genus name
g__Arcobacter	Arcobacter	1	0	0	1	0	SILVA-only	plain genus name
g__Arcticibacter	Arcticibacter	1	0	0	1	0	SILVA-only	plain genus name
g__Arenimonas	Arenimonas	1	0	0	1	0	SILVA-only	plain genus name
g__Arsenicicoccus	Arsenicicoccus	0	0	1	1	0	Greengenes-only	plain genus name
g__Arthrobacter	Arthrobacter	1	0	1	2	0	shared	plain genus name
g__Asteroleplasma	Asteroleplasma	1	0	0	1	0	SILVA-only	plain genus name
g__Asticcacaulis	Asticcacaulis	1	0	0	1	0	SILVA-only	plain genus name
g__Atopobium	Atopobium	0	1	1	2	0	shared	plain genus name
