genus	genus_name	status	detected_in	note
g__1-68	1-68	Greengenes-only	PRJNA813034	Greengenes-style environmental/candidate label (no literal SILVA counterpart)
g__[Clostridium]_innocuum_group	[Clostridium]_innocuum_group	SILVA-only	PRJNA666746	SILVA-style lineage/informative label (no literal Greengenes counterpart)
g__[Eubacterium]	[Eubacterium]	Greengenes-only	PRJNA813034	SILVA bracketed label
g__[Eubacterium]_eligens_group	[Eubacterium]_eligens_group	SILVA-only	PRJNA666746	SILVA-style lineage/informative label (no literal Greengenes counterpart)
g__[Eubacterium]_ventriosum_group	[Eubacterium]_ventriosum_group	SILVA-only	PRJNA822685	SILVA-style lineage/informative label (no literal Greengenes counterpart)
g__[Eubacterium]_xylanophilum_group	[Eubacterium]_xylanophilum_group	SILVA-only	PRJNA666746	SILVA-style lineage/informative label (no literal Greengenes counterpart)
g__[Polyangium]_brachysporum_group	[Polyangium]_brachysporum_group	SILVA-only	PRJNA666746	SILVA-style lineage/informative label (no literal Greengenes counterpart)
g__[Prevotella]	[Prevotella]	Greengenes-only	PRJNA813034	SILVA bracketed label
g__[Ruminococcus]	[Ruminococcus]	Greengenes-only	PRJNA813034	SILVA bracketed label
g__[Ruminococcus]_gnavus_group	[Ruminococcus]_gnavus_group	SILVA-only	PRJNA666746	SILVA-style lineage/informative label (no literal Greengenes counterpart)
g__Acidaminococcus	Acidaminococcus	Greengenes-only	PRJNA813034	plain genus name
g__Acidibacter	Acidibacter	SILVA-only	PRJNA666746	plain genus name
g__Acidiferrimicrobium	Acidiferrimicrobium	SILVA-only	PRJNA822685	plain genus name
g__Acidocella	Acidocella	SILVA-only	PRJNA822685	plain genus name
g__Actinomadura	Actinomadura	Greengenes-only	PRJNA813034	plain genus name
g__Actinoplanes	Actinoplanes	Greengenes-only	PRJNA813034	plain genus name
g__Actinopolymorpha	Actinopolymorpha	Greengenes-only	PRJNA813034	plain genus name
g__Actinotalea	Actinotalea	SILVA-only	PRJNA666746	plain genus name
g__Adlercreutzia	Adlercreutzia	Greengenes-only	PRJNA813034	plain genus name
g__Aeribacillus	Aeribacillus	SILVA-only	PRJNA666746	plain genus name
g__Aeriscardovia	Aeriscardovia	SILVA-only	PRJNA822685	plain genus name
g__Aeromicrobium	Aeromicrobium	Greengenes-only	PRJNA813034	plain genus name
g__Aestuariimicrobium	Aestuariimicrobium	SILVA-only	PRJNA666746	plain genus name
