genus	n_cohorts	direction	min_q	n_sig_q0.1	mean_abs_effect	mean_median_effect	cohort_effects
g__Campylobacter	2	up	0.0154164	2	0.667732	0.667732	PRJNA666746(+0.993);PRJNA822685(+0.342)
g__Catonella	2	up	0.013465	2	0.622888	0.622888	PRJNA666746(+0.666);PRJNA822685(+0.58)
g__Actinomyces	2	down	0.00412384	2	0.573613	-0.573613	PRJNA666746(-1.04);PRJNA822685(-0.111)
g__Peptostreptococcus	2	up	0.0180647	2	0.520331	0.520331	PRJNA666746(+0.225);PRJNA822685(+0.815)
g__Megasphaera	2	down	0.0455351	2	0.509504	-0.509504	PRJNA666746(-0.931);PRJNA822685(-0.088)
g__Filifactor	2	up	0.000390308	2	0.223551	0.223551	PRJNA666746(+0.25);PRJNA822685(+0.197)
g__Lentimicrobium	2	up	0.0388238	2	0.199935	0.199935	PRJNA666746(+0.171);PRJNA822685(+0.229)
g__Peptoanaerobacter	2	up	0.00323962	2	0.179712	0.179712	PRJNA666746(+0.185);PRJNA822685(+0.174)
g__Family_XIII_UCG-001	2	up	0.0225841	2	0.158214	0.158214	PRJNA666746(+0.185);PRJNA822685(+0.131)
g__[Eubacterium]_yurii_group	2	up	0.0388238	2	0.153948	0.153948	PRJNA666746(+0.139);PRJNA822685(+0.169)
g__Erythrobacter	2	up	8.87297e-05	2	0.153785	0.153785	PRJNA666746(+0.216);PRJNA822685(+0.0912)
g__Butyrivibrio	2	up	0.00157225	2	0.149991	0.149991	PRJNA666746(+0.216);PRJNA822685(+0.0836)
g__Deinococcus	2	up	0.01315	2	0.149991	0.149991	PRJNA666746(+0.216);PRJNA822685(+0.0836)
g__Aeromonas	2	up	8.87297e-05	2	0.144782	0.144782	PRJNA666746(+0.198);PRJNA822685(+0.0912)
g__Alysiella	2	up	0.00323962	2	0.141406	0.141406	PRJNA666746(+0.171);PRJNA822685(+0.112)
g__Streptobacillus	2	up	0.00157225	2	0.136266	0.136266	PRJNA666746(+0.171);PRJNA822685(+0.101)
g__Blvii28_wastewater-sludge_group	2	up	0.000803043	2	0.131816	0.131816	PRJNA666746(+0.152);PRJNA822685(+0.112)
g__Chryseobacterium	2	up	0.00477742	2	0.131259	0.131259	PRJNA666746(+0.171);PRJNA822685(+0.0912)
g__Luteimonas	2	up	0.000276844	2	0.127465	0.127465	PRJNA666746(+0.171);PRJNA822685(+0.0836)
g__Enterococcus	2	up	0.00464946	2	0.124452	0.124452	PRJNA666746(+0.165);PRJNA822685(+0.0836)
g__Dietzia	2	up	0.000566597	2	0.122947	0.122947	PRJNA666746(+0.171);PRJNA822685(+0.0746)
g__Ottowia	2	up	8.87297e-05	2	0.122947	0.122947	PRJNA666746(+0.171);PRJNA822685(+0.0746)
g__Legionella	2	up	0.000286364	2	0.121669	0.121669	PRJNA666746(+0.152);PRJNA822685(+0.0912)
g__Neobacillus	2	up	0.000166401	2	0.121669	0.121669	PRJNA666746(+0.152);PRJNA822685(+0.0912)
g__Paucibacter	2	up	0.000390308	2	0.121669	0.121669	PRJNA666746(+0.152);PRJNA822685(+0.0912)
g__Vulcaniibacterium	2	up	0.0345764	2	0.121118	0.121118	PRJNA666746(+0.151);PRJNA822685(+0.0912)
g__Christensenellaceae_R-7_group	2	up	0.00367787	2	0.117875	0.117875	PRJNA666746(+0.152);PRJNA822685(+0.0836)
g__Cloacibacterium	2	up	0.00168911	2	0.117875	0.117875	PRJNA666746(+0.152);PRJNA822685(+0.0836)
g__Pseudaeromonas	2	up	8.87297e-05	2	0.117875	0.117875	PRJNA666746(+0.152);PRJNA822685(+0.0836)
g__Roseimarinus	2	up	8.87297e-05	2	0.117875	0.117875	PRJNA666746(+0.152);PRJNA822685(+0.0836)
g__Ruminococcus	2	up	0.000390308	2	0.117875	0.117875	PRJNA666746(+0.152);PRJNA822685(+0.0836)
g__Ruthenibacterium	2	up	0.000360936	2	0.117875	0.117875	PRJNA666746(+0.152);PRJNA822685(+0.0836)
g__UCG-002	2	up	0.00118228	2	0.117875	0.117875	PRJNA666746(+0.152);PRJNA822685(+0.0836)
g__Anaerovorax	2	up	0.000391488	2	0.113357	0.113357	PRJNA666746(+0.152);PRJNA822685(+0.0746)
g__Desulfovibrio	2	up	0.00148434	2	0.113357	0.113357	PRJNA666746(+0.152);PRJNA822685(+0.0746)
g__Fluviicola	2	up	8.87297e-05	2	0.113357	0.113357	PRJNA666746(+0.152);PRJNA822685(+0.0746)
g__Fuscovulum	2	up	8.87297e-05	2	0.113357	0.113357	PRJNA666746(+0.152);PRJNA822685(+0.0746)
g__Leifsonia	2	up	8.87297e-05	2	0.113357	0.113357	PRJNA666746(+0.152);PRJNA822685(+0.0746)
g__Novosphingobium	2	up	0.00492534	2	0.113357	0.113357	PRJNA666746(+0.152);PRJNA822685(+0.0746)
g__Roseomonas	2	up	0.0345764	2	0.113357	0.113357	PRJNA666746(+0.152);PRJNA822685(+0.0746)
g__Variovorax	2	up	8.87297e-05	2	0.113357	0.113357	PRJNA666746(+0.152);PRJNA822685(+0.0746)
g__Acidovorax	2	up	0.0338832	2	0.112765	0.112765	PRJNA666746(+0.142);PRJNA822685(+0.0836)
g__Alloscardovia	2	up	0.000390308	2	0.112765	0.112765	PRJNA666746(+0.142);PRJNA822685(+0.0836)
g__Coprococcus	2	up	0.00039812	2	0.112765	0.112765	PRJNA666746(+0.142);PRJNA822685(+0.0836)
g__Cryptobacterium	2	up	0.00224673	2	0.112765	0.112765	PRJNA666746(+0.142);PRJNA822685(+0.0836)
g__Dolosigranulum	2	up	0.00157225	2	0.112765	0.112765	PRJNA666746(+0.142);PRJNA822685(+0.0836)
g__Family_XIII_AD3011_group	2	up	0.00379532	2	0.112765	0.112765	PRJNA666746(+0.142);PRJNA822685(+0.0836)
g__Fannyhessea	2	up	0.00140447	2	0.112765	0.112765	PRJNA666746(+0.142);PRJNA822685(+0.0836)
g__Gordonia	2	up	0.000609771	2	0.112765	0.112765	PRJNA666746(+0.142);PRJNA822685(+0.0836)
g__Intestinibacter	2	up	0.00154972	2	0.112765	0.112765	PRJNA666746(+0.142);PRJNA822685(+0.0836)
g__Lachnospira	2	up	0.00452458	2	0.112765	0.112765	PRJNA666746(+0.142);PRJNA822685(+0.0836)
g__Phaselicystis	2	up	0.000403338	2	0.112765	0.112765	PRJNA666746(+0.142);PRJNA822685(+0.0836)
g__Bilophila	2	up	0.000496365	2	0.111411	0.111411	PRJNA666746(+0.139);PRJNA822685(+0.0836)
g__Brevibacterium	2	up	0.0179546	2	0.111411	0.111411	PRJNA666746(+0.139);PRJNA822685(+0.0836)
g__Morganella	2	up	0.00156521	2	0.111411	0.111411	PRJNA666746(+0.139);PRJNA822685(+0.0836)
g__Eggerthia	2	up	0.0188944	2	0.110861	0.110861	PRJNA666746(+0.13);PRJNA822685(+0.0912)
g__Pseudoramibacter	2	up	0.0176579	2	0.110861	0.110861	PRJNA666746(+0.13);PRJNA822685(+0.0912)
g__Caulobacter	2	up	0.00588081	2	0.109314	0.109314	PRJNA666746(+0.135);PRJNA822685(+0.0836)
g__Gemmiger	2	up	0.00157688	2	0.109314	0.109314	PRJNA666746(+0.135);PRJNA822685(+0.0836)
g__Lysinibacillus	2	up	0.00541194	2	0.109314	0.109314	PRJNA666746(+0.135);PRJNA822685(+0.0836)
g__Prosthecobacter	2	up	0.00157225	2	0.109314	0.109314	PRJNA666746(+0.135);PRJNA822685(+0.0836)
g__Proteiniphilum	2	up	0.00157225	2	0.109314	0.109314	PRJNA666746(+0.135);PRJNA822685(+0.0836)
